split,system,seed,video,n_frames,accuracy,macro_f1,f1_anesthesia,f1_closure,f1_design,f1_disinfection,f1_dissection,f1_dressing,f1_hemostasis,f1_incision,f1_irrigation,n_gt_anesthesia,n_gt_closure,n_gt_design,n_gt_disinfection,n_gt_dissection,n_gt_dressing,n_gt_hemostasis,n_gt_incision,n_gt_irrigation
test,base,42,05,1225,0.883265306122449,0.7875946714563689,0.9777777777777777,0.9241830065359476,1.0,0.0,0.9066666666666667,0.0,0.7633587786259541,0.9411764705882353,0.0,22,709,17,0,272,83,71,51,0
test,base,42,07,1711,0.8796025715955581,0.8431280775322153,0.9894736842105264,0.9234006734006734,0.8695652173913044,0.0,0.6187624750499001,0.0,0.9586776859504132,0.9705882352941176,0.5714285714285715,47,1104,13,0,320,0,122,70,35
test,base,123,04,1329,0.7163280662151994,0.5880616136582216,1.0,0.8481182795698925,0.0,0.0,0.5618811881188118,0.0,0.0,0.8717948717948718,0.24657534246575347,51,631,0,0,510,0,46,42,49
test,base,123,05,1225,0.8759183673469387,0.7790378803850527,0.9777777777777777,0.9191655801825294,1.0,0.0,0.8969465648854963,0.0,0.7286821705426356,0.9306930693069307,0.0,22,709,17,0,272,83,71,51,0
test,base,123,07,1711,0.8731735827001753,0.7956175775926712,0.9213483146067415,0.9276343630977572,0.9166666666666666,0.0,0.615678776290631,0.0,0.950413223140496,0.9264705882352942,0.3111111111111111,47,1104,13,0,320,0,122,70,35
test,base,456,04,1329,0.7261098570353649,0.6236232617596421,0.9591836734693878,0.8486886348352387,0.0,0.0,0.5696821515892421,0.0,0.0,0.8571428571428571,0.5070422535211268,51,631,0,0,510,0,46,42,49
test,base,456,05,1225,0.88,0.7967945108525089,1.0,0.9177545691906006,1.0,0.0,0.8953488372093023,0.0,0.8029197080291971,0.9615384615384616,0.0,22,709,17,0,272,83,71,51,0
test,base,456,07,1711,0.8743424897720631,0.7988024142960383,0.9894736842105264,0.9267879813796023,0.9166666666666666,0.0,0.6065259117082533,0.0,0.946938775510204,0.955223880597015,0.25,47,1104,13,0,320,0,122,70,35
test,bboxROI,42,04,1329,0.8337095560571859,0.6997357828589793,1.0,0.9178181818181819,0.0,0.0,0.7693920335429769,0.0,0.0,0.9523809523809523,0.5588235294117647,51,631,0,0,510,0,46,42,49
test,bboxROI,42,05,1225,0.8979591836734694,0.8085463422856068,1.0,0.929279576999339,1.0,0.0,0.9387755102040817,0.0,0.8208955223880596,0.970873786407767,0.0,22,709,17,0,272,83,71,51,0
test,bboxROI,42,07,1711,0.9409701928696669,0.8750146003671783,0.967741935483871,0.9712262062859672,1.0,0.0,0.8450244698205546,0.0,0.9674796747967479,0.9645390070921985,0.40909090909090906,47,1104,13,0,320,0,122,70,35
test,bboxROI,123,04,1329,0.8299473288186606,0.6718477963377522,0.9532710280373832,0.9125090383224873,0.0,0.0,0.7649572649572649,0.0,0.0,0.9647058823529412,0.43564356435643564,51,631,0,0,510,0,46,42,49
test,bboxROI,123,05,1225,0.8963265306122449,0.8100587521433008,1.0,0.9273817455029981,1.0,0.0,0.9340659340659341,0.0,0.8285714285714286,0.9803921568627451,0.0,22,709,17,0,272,83,71,51,0
