contrast,split,metric,is_prereg_phase,diff,mean_a,mean_b,sd_A,sd_B,SE,df,t,p,CI_low,CI_high,welch_exceeds,n_videos,n_videos_same_sign,all_videos_same_sign,p_sign_under_null,bootstrap_CI_low,bootstrap_CI_high,bootstrap_crosses_zero
3-1,val,design,False,0.0033657655891314864,0.9852216748768473,0.9818559092877158,0.0,0.005829677006742793,0.0033657655891315237,2.0,0.9999999999999889,0.42264973081037854,-0.01111595491064207,0.017847486088905042,False,2,1,False,0.5,0.0,0.003968253968253954,True
3-1,val,disinfection,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,0,False,0.5,0.0,0.0,True
3-1,val,dissection,False,0.016408755037726652,0.9773149448750397,0.960906189837313,0.0016012538173524294,0.005114529651075646,0.0030942111185953735,2.3883437378264354,5.303049600951423,0.022747008135477302,0.004969137054369193,0.02784837302108411,True,2,2,True,0.5,0.01011979103085403,0.021658442357130325,False
3-1,val,dressing,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,0,False,0.5,0.0,0.0,True
3-1,val,hemostasis,True,0.14537579919903654,0.9578487578487579,0.8124729586497214,0.00501221363915644,0.029049646591795604,0.017019638193106687,2.1189741774405086,8.541650389367078,0.011241730885817999,0.07594860158477226,0.2148029968133008,True,2,1,False,0.5,0.0,0.14537579919903654,True
3-1,val,incision,True,0.0204589871227574,0.9664629863744908,0.9460039992517334,0.0018855729398312513,0.0028724010720098904,0.0019837736119079916,3.453732974079507,10.313166280642259,0.0010274076086939801,0.014589967359735534,0.026328006885779263,True,2,2,True,0.5,0.010847734676799892,0.07280833807949383,False
3-1,val,irrigation,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,0,False,0.5,0.0,0.0,True
4-1,val,phase_accuracy,False,0.01474147414741489,0.9632563256325634,0.9485148514851485,0.002016534959276495,0.0013201320132013028,0.001391541324606541,3.4482758620689413,10.593630161564228,0.0009458118516471161,0.010621495333031273,0.01886145296179851,True,2,2,True,0.5,0.008365508365508312,0.01805416248746239,False
4-1,val,phase_macro_f1,False,0.024117140233858025,0.8319710243266906,0.8078538840928325,0.0031084250690102872,0.004381242674196541,0.0031014831817402283,3.6064359316784986,7.776002261062079,0.002230499003966121,0.01512247040919706,0.03311181005851899,True,2,2,True,0.5,0.004123256109526796,0.030419906164484423,False
4-1,val,anesthesia,False,-0.0034188034188035177,0.9948717948717948,0.9982905982905983,0.0,0.002960770611228904,0.0017094017094017404,2.0,-2.0000000000000218,0.183503419072271,-0.010773765349999312,0.003936158512392277,False,2,1,False,0.5,-0.005333333333333412,0.0,True
4-1,val,closure,True,0.01009061717492088,0.9655381505076672,0.9554475333327463,0.0009509728305904559,0.0012870613754923758,0.0009239185225270228,3.682323159060226,10.921544409913862,0.0006147621386122735,0.007435728718943668,0.012745505630898091,True,2,1,False,0.5,0.0,0.01009061717492088,True
4-1,val,design,False,0.0033657655891314864,0.9852216748768473,0.9818559092877158,0.0,0.005829677006742793,0.0033657655891315237,2.0,0.9999999999999889,0.42264973081037854,-0.01111595491064207,0.017847486088905042,False,2,1,False,0.5,0.0,0.003968253968253954,True
4-1,val,disinfection,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,0,False,0.5,0.0,0.0,True
4-1,val,dissection,False,0.015266937949775627,0.9761731277870886,0.960906189837313,0.0020161254860998224,0.005114529651075646,0.003174018248605029,2.606906492126536,4.8099716995910144,0.023428751236099755,0.00424698572063517,0.026286890178916084,True,2,2,True,0.5,0.009399855386840295,0.019927610865586032,False
4-1,val,dressing,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,0,False,0.5,0.0,0.0,True
4-1,val,hemostasis,True,0.12796774676904543,0.9404407054187668,0.8124729586497214,0.01676665719215213,0.029049646591795604,0.0193649404896871,3.199408799736604,6.60821792027687,0.0057596725202496875,0.06845686646861648,0.18747862706947438,True,2,1,False,0.5,0.0,0.12796774676904543,True
4-1,val,incision,True,0.01554771757293616,0.9615517168246696,0.9460039992517334,0.005362303777808087,0.0028724010720098904,0.003512121378121702,3.060440655223797,4.426873646733458,0.020533360693730386,0.004494423906853846,0.026601011239018472,True,2,2,True,0.5,0.008458248416345904,0.05660598727749366,False
4-1,val,irrigation,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,0,False,0.5,0.0,0.0,True
2-1,test,phase_accuracy,False,0.06072684642438464,0.8925361469323955,0.8318093005080108,0.004401065486612282,0.007934999700818755,0.005238752958145782,3.1241213478398993,11.591851516869095,0.0011377685267905406,0.04442332652286936,0.07703036632589992,True,3,3,True,0.25,0.014421768707483018,0.0963130173062452,False
2-1,test,phase_macro_f1,False,0.05747502345665101,0.7515598301942159,0.6940848067375649,0.008856535995462286,0.02202879270575434,0.013707734287766338,2.63009376989947,4.192890104963984,0.031903838083369905,0.010165914614929224,0.1047841322983728,True,3,3,True,0.25,0.019369585811701007,0.08520997985315071,False
2-1,test,anesthesia,False,-0.0016084212499707373,0.9773049739806409,0.9789133952306116,0.02519760601205602,0.012816924327374508,0.01632169208908241,2.9699923100870875,-0.09854500631381297,0.9277732920660238,-0.05384949284311475,0.050632650343173276,False,3,2,False,0.25,-0.007170478627472221,0.014814814814814725,True
2-1,test,closure,True,0.03902039574409888,0.9431672912996875,0.9041468955555886,0.0012668581651043484,0.002105615022656745,0.0014187487719970393,3.280209300648363,27.503386444644132,5.4138016293678194e-05,0.034715849490514414,0.043324941997683344,True,3,3,True,0.25,0.005904618405337847,0.0643901516824964,False
2-1,test,design,False,0.023388395008561713,0.9828560296123126,0.9594676346037508,0.01724220478992828,0.010478226301082128,0.011648846186561639,3.299938640241018,2.0077864051070633,0.12991929617978473,-0.01184823076907019,0.05862502078619362,False,3,1,False,0.25,0.0,0.05792270531400956,True
2-1,test,disinfection,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,3,0,False,0.25,0.0,0.0,True
2-1,test,dissection,False,0.14794651461811847,0.8292539604094711,0.6813074457913526,0.013190974733142192,0.017585836961636757,0.012692037872247115,3.709413715631684,11.656639864085488,0.0004677058765964532,0.11159191500394505,0.1843011142322919,True,3,3,True,0.25,0.030436856056366812,0.2358704048574639,False
2-1,test,dressing,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,3,0,False,0.25,0.0,0.0,True
