path,run_name,系統,seed,split,metric_name,value,config_path,commit,mtime
"experiments/baselines/_smoke_e3/s0_001_smoke_e3_seed42/metrics.json","s0_001_smoke_e3_seed42","other","42","val","val/mAP_50",0.535,"experiments/baselines/_smoke_e3/s0_001_smoke_e3_seed42/config.yaml","4fa9bfff3343",1779724561.4176652
"experiments/baselines/_smoke_e3/s0_001_smoke_e3_seed42/metrics.json","s0_001_smoke_e3_seed42","other","42","val","val/mAP_75",0.48,"experiments/baselines/_smoke_e3/s0_001_smoke_e3_seed42/config.yaml","4fa9bfff3343",1779724561.4176652
"experiments/baselines/_smoke_prior_simplehead/s0_001_maskdino_bbox_seed42/metrics.json","s0_001_maskdino_bbox_seed42","other","42","val","epoch",1,"experiments/baselines/_smoke_prior_simplehead/s0_001_maskdino_bbox_seed42/config.yaml","16fece774488",1779660227.7454357
"experiments/baselines/_smoke_prior_simplehead/s0_001_maskdino_bbox_seed42/metrics.json","s0_001_maskdino_bbox_seed42","other","42","val","mAP",0.0002391405350801898,"experiments/baselines/_smoke_prior_simplehead/s0_001_maskdino_bbox_seed42/config.yaml","16fece774488",1779660227.7454357
"experiments/baselines/_smoke_prior_simplehead/s0_001_maskdino_bbox_seed42/metrics.json","s0_001_maskdino_bbox_seed42","other","42","val","val/AP_common",0.0,"experiments/baselines/_smoke_prior_simplehead/s0_001_maskdino_bbox_seed42/config.yaml","16fece774488",1779660227.7454357
"experiments/baselines/_smoke_prior_simplehead/s0_001_maskdino_bbox_seed42/metrics.json","s0_001_maskdino_bbox_seed42","other","42","val","val/AP_rare",0.0011159891637075525,"experiments/baselines/_smoke_prior_simplehead/s0_001_maskdino_bbox_seed42/config.yaml","16fece774488",1779660227.7454357
"experiments/baselines/_smoke_prior_simplehead/s0_001_maskdino_bbox_seed42/metrics.json","s0_001_maskdino_bbox_seed42","other","42","val","val/mAP",0.0002391405350801898,"experiments/baselines/_smoke_prior_simplehead/s0_001_maskdino_bbox_seed42/config.yaml","16fece774488",1779660227.7454357
"experiments/baselines/_smoke_prior_simplehead/s0_001_maskdino_bbox_seed42/metrics.json","s0_001_maskdino_bbox_seed42","other","42","val","val/mAP_50",0.001668451511496051,"experiments/baselines/_smoke_prior_simplehead/s0_001_maskdino_bbox_seed42/config.yaml","16fece774488",1779660227.7454357
"experiments/baselines/_smoke_prior_simplehead/s0_001_maskdino_bbox_seed42/metrics.json","s0_001_maskdino_bbox_seed42","other","42","val","val/mAP_75",5.8934464875058934e-05,"experiments/baselines/_smoke_prior_simplehead/s0_001_maskdino_bbox_seed42/config.yaml","16fece774488",1779660227.7454357
"experiments/baselines/_smoke_prior_simplehead/s0_002_maskdino_bbox_seed123/metrics.json","s0_002_maskdino_bbox_seed123","other","123","val","epoch",1,"experiments/baselines/_smoke_prior_simplehead/s0_002_maskdino_bbox_seed123/config.yaml","16fece774488",1779660252.1461513
"experiments/baselines/_smoke_prior_simplehead/s0_002_maskdino_bbox_seed123/metrics.json","s0_002_maskdino_bbox_seed123","other","123","val","mAP",0.0008909501310241347,"experiments/baselines/_smoke_prior_simplehead/s0_002_maskdino_bbox_seed123/config.yaml","16fece774488",1779660252.1461513
"experiments/baselines/_smoke_prior_simplehead/s0_002_maskdino_bbox_seed123/metrics.json","s0_002_maskdino_bbox_seed123","other","123","val","val/AP_common",0.0,"experiments/baselines/_smoke_prior_simplehead/s0_002_maskdino_bbox_seed123/config.yaml","16fece774488",1779660252.1461513
"experiments/baselines/_smoke_prior_simplehead/s0_002_maskdino_bbox_seed123/metrics.json","s0_002_maskdino_bbox_seed123","other","123","val","val/AP_rare",0.004157767278112629,"experiments/baselines/_smoke_prior_simplehead/s0_002_maskdino_bbox_seed123/config.yaml","16fece774488",1779660252.1461513
"experiments/baselines/_smoke_prior_simplehead/s0_002_maskdino_bbox_seed123/metrics.json","s0_002_maskdino_bbox_seed123","other","123","val","val/mAP",0.0008909501310241347,"experiments/baselines/_smoke_prior_simplehead/s0_002_maskdino_bbox_seed123/config.yaml","16fece774488",1779660252.1461513
"experiments/baselines/_smoke_prior_simplehead/s0_002_maskdino_bbox_seed123/metrics.json","s0_002_maskdino_bbox_seed123","other","123","val","val/mAP_50",0.0043390862855456,"experiments/baselines/_smoke_prior_simplehead/s0_002_maskdino_bbox_seed123/config.yaml","16fece774488",1779660252.1461513
"experiments/baselines/_smoke_prior_simplehead/s0_002_maskdino_bbox_seed123/metrics.json","s0_002_maskdino_bbox_seed123","other","123","val","val/mAP_75",0.000707213578500707,"experiments/baselines/_smoke_prior_simplehead/s0_002_maskdino_bbox_seed123/config.yaml","16fece774488",1779660252.1461513
"experiments/baselines/_smoke_prior_simplehead/s0_003_maskdino_bbox_seed456/metrics.json","s0_003_maskdino_bbox_seed456","other","456","val","epoch",1,"experiments/baselines/_smoke_prior_simplehead/s0_003_maskdino_bbox_seed456/config.yaml","16fece774488",1779660257.7233143
"experiments/baselines/_smoke_prior_simplehead/s0_003_maskdino_bbox_seed456/metrics.json","s0_003_maskdino_bbox_seed456","other","456","val","mAP",7.697327426540104e-05,"experiments/baselines/_smoke_prior_simplehead/s0_003_maskdino_bbox_seed456/config.yaml","16fece774488",1779660257.7233143
"experiments/baselines/_smoke_prior_simplehead/s0_003_maskdino_bbox_seed456/metrics.json","s0_003_maskdino_bbox_seed456","other","456","val","val/AP_common",0.0,"experiments/baselines/_smoke_prior_simplehead/s0_003_maskdino_bbox_seed456/config.yaml","16fece774488",1779660257.7233143
"experiments/baselines/_smoke_prior_simplehead/s0_003_maskdino_bbox_seed456/metrics.json","s0_003_maskdino_bbox_seed456","other","456","val","val/AP_rare",0.00035920861323853826,"experiments/baselines/_smoke_prior_simplehead/s0_003_maskdino_bbox_seed456/config.yaml","16fece774488",1779660257.7233143
"experiments/baselines/_smoke_prior_simplehead/s0_003_maskdino_bbox_seed456/metrics.json","s0_003_maskdino_bbox_seed456","other","456","val","val/mAP",7.697327426540104e-05,"experiments/baselines/_smoke_prior_simplehead/s0_003_maskdino_bbox_seed456/config.yaml","16fece774488",1779660257.7233143
"experiments/baselines/_smoke_prior_simplehead/s0_003_maskdino_bbox_seed456/metrics.json","s0_003_maskdino_bbox_seed456","other","456","val","val/mAP_50",0.0005057303948973688,"experiments/baselines/_smoke_prior_simplehead/s0_003_maskdino_bbox_seed456/config.yaml","16fece774488",1779660257.7233143
"experiments/baselines/_smoke_prior_simplehead/s0_003_maskdino_bbox_seed456/metrics.json","s0_003_maskdino_bbox_seed456","other","456","val","val/mAP_75",1.4733616218764734e-05,"experiments/baselines/_smoke_prior_simplehead/s0_003_maskdino_bbox_seed456/config.yaml","16fece774488",1779660257.7233143
"experiments/baselines/_smoke_prior_simplehead/s0_004_varifocanet_bbox_seed42/metrics.json","s0_004_varifocanet_bbox_seed42","other","42","val","epoch",1,"experiments/baselines/_smoke_prior_simplehead/s0_004_varifocanet_bbox_seed42/config.yaml","16fece774488",1779660282.848046
"experiments/baselines/_smoke_prior_simplehead/s0_004_varifocanet_bbox_seed42/metrics.json","s0_004_varifocanet_bbox_seed42","other","42","val","mAP",0.00020567057880532385,"experiments/baselines/_smoke_prior_simplehead/s0_004_varifocanet_bbox_seed42/config.yaml","16fece774488",1779660282.848046
"experiments/baselines/_smoke_prior_simplehead/s0_004_varifocanet_bbox_seed42/metrics.json","s0_004_varifocanet_bbox_seed42","other","42","val","val/AP_common",0.0,"experiments/baselines/_smoke_prior_simplehead/s0_004_varifocanet_bbox_seed42/config.yaml","16fece774488",1779660282.848046
"experiments/baselines/_smoke_prior_simplehead/s0_004_varifocanet_bbox_seed42/metrics.json","s0_004_varifocanet_bbox_seed42","other","42","val","val/AP_rare",0.0009597960344248447,"experiments/baselines/_smoke_prior_simplehead/s0_004_varifocanet_bbox_seed42/config.yaml","16fece774488",1779660282.848046
"experiments/baselines/_smoke_prior_simplehead/s0_004_varifocanet_bbox_seed42/metrics.json","s0_004_varifocanet_bbox_seed42","other","42","val","val/mAP",0.00020567057880532385,"experiments/baselines/_smoke_prior_simplehead/s0_004_varifocanet_bbox_seed42/config.yaml","16fece774488",1779660282.848046
"experiments/baselines/_smoke_prior_simplehead/s0_004_varifocanet_bbox_seed42/metrics.json","s0_004_varifocanet_bbox_seed42","other","42","val","val/mAP_50",0.0015284004958686713,"experiments/baselines/_smoke_prior_simplehead/s0_004_varifocanet_bbox_seed42/config.yaml","16fece774488",1779660282.848046
"experiments/baselines/_smoke_prior_simplehead/s0_004_varifocanet_bbox_seed42/metrics.json","s0_004_varifocanet_bbox_seed42","other","42","val","val/mAP_75",4.42008486562942e-05,"experiments/baselines/_smoke_prior_simplehead/s0_004_varifocanet_bbox_seed42/config.yaml","16fece774488",1779660282.848046
"experiments/baselines/_smoke_prior_simplehead/s0_005_varifocanet_bbox_seed123/metrics.json","s0_005_varifocanet_bbox_seed123","other","123","val","epoch",1,"experiments/baselines/_smoke_prior_simplehead/s0_005_varifocanet_bbox_seed123/config.yaml","16fece774488",1779660288.529211
"experiments/baselines/_smoke_prior_simplehead/s0_005_varifocanet_bbox_seed123/metrics.json","s0_005_varifocanet_bbox_seed123","other","123","val","mAP",0.0006036112546462912,"experiments/baselines/_smoke_prior_simplehead/s0_005_varifocanet_bbox_seed123/config.yaml","16fece774488",1779660288.529211
"experiments/baselines/_smoke_prior_simplehead/s0_005_varifocanet_bbox_seed123/metrics.json","s0_005_varifocanet_bbox_seed123","other","123","val","val/AP_common",0.0,"experiments/baselines/_smoke_prior_simplehead/s0_005_varifocanet_bbox_seed123/config.yaml","16fece774488",1779660288.529211
"experiments/baselines/_smoke_prior_simplehead/s0_005_varifocanet_bbox_seed123/metrics.json","s0_005_varifocanet_bbox_seed123","other","123","val","val/AP_rare",0.002816852521682693,"experiments/baselines/_smoke_prior_simplehead/s0_005_varifocanet_bbox_seed123/config.yaml","16fece774488",1779660288.529211
"experiments/baselines/_smoke_prior_simplehead/s0_005_varifocanet_bbox_seed123/metrics.json","s0_005_varifocanet_bbox_seed123","other","123","val","val/mAP",0.0006036112546462912,"experiments/baselines/_smoke_prior_simplehead/s0_005_varifocanet_bbox_seed123/config.yaml","16fece774488",1779660288.529211
"experiments/baselines/_smoke_prior_simplehead/s0_005_varifocanet_bbox_seed123/metrics.json","s0_005_varifocanet_bbox_seed123","other","123","val","val/mAP_50",0.0034637964913279873,"experiments/baselines/_smoke_prior_simplehead/s0_005_varifocanet_bbox_seed123/config.yaml","16fece774488",1779660288.529211
