rule,split,metric,system,k_seeds,n_reps,var_within_seed,var_between_seed,var_between_seed_raw,clipped_to_zero,ICC,sd_within,sd_between,within_exceeds_between
R-loss,test,phase_macro_f1,shuffleROI,3,3,0.0002719459651716244,0.0002938193454770661,0.0002938193454770661,False,0.5193307895462539,0.016490784249744594,0.017141159397108065,False
R-loss,test,phase_macro_f1,handROIbbox2,3,3,1.1321366203840994e-05,0.0010173275100413264,0.0010173275100413264,False,0.9889939449064807,0.0033647237930981787,0.031895571950371515,False
R-loss,test,phase_macro_f1,handROImask2,3,3,5.369335473895913e-05,0.000464790023354984,0.000464790023354984,False,0.8964415119027586,0.007327574956215673,0.02155898938621623,False
R-loss,test,phase_macro_f1,bboxROI_handROIbbox2,3,3,7.40337928828442e-05,0.00015402438024678352,0.00015402438024678352,False,0.6753732090944903,0.00860428921427239,0.012410655915252164,False
R-mf1,val,phase_accuracy,base,3,3,9.681936290438592e-06,3.2757217782650902e-06,3.2757217782650902e-06,False,0.2528019925280218,0.0031115809953203197,0.0018098955158420307,True
R-mf1,val,phase_accuracy,bboxROI,3,3,1.8879775766355468e-06,1.8072947742152003e-06,1.8072947742152003e-06,False,0.4890829694323111,0.0013740369633439802,0.0013443566395176542,True
R-mf1,val,phase_accuracy,maskROI,3,3,3.001400250036023e-06,1.145695794368554e-06,1.145695794368554e-06,False,0.27626459143968257,0.0017324549777803819,0.0010703718019307842,True
R-mf1,val,phase_accuracy,randROI,3,3,3.582316427462429e-06,2.9852636895518626e-06,2.9852636895518626e-06,False,0.45454545454544115,0.0018927008288322877,0.0017277915642669004,True
R-mf1,val,phase_accuracy,shuffleROI,3,3,6.7289457218549275e-06,0.0,-6.293258588784284e-07,True,0.0,0.0025940211490762615,0.0,True
R-mf1,val,phase_accuracy,handROIbbox2,3,3,3.7275454718188557e-06,1.9686603790558252e-06,1.9686603790558252e-06,False,0.34560906515580503,0.001930685233749628,0.001403089583403649,True
R-mf1,val,phase_accuracy,handROImask2,3,3,1.3070613992091813e-06,1.3070613992091974e-06,1.3070613992091974e-06,False,0.5000000000000031,0.0011432678597814167,0.001143267859781424,False
R-mf1,val,phase_accuracy,bboxROI_handROIbbox2,3,3,1.7911582137312025e-06,5.80916177426338e-07,5.80916177426338e-07,False,0.2448979591836741,0.0013383415908247052,0.0007621785731876343,True
R-mf1,val,phase_macro_f1,base,3,3,1.2075116315590291e-05,1.3646907831980766e-05,1.3646907831980766e-05,False,0.5305534181014074,0.0034749268072277856,0.003694172144335015,False
R-mf1,val,phase_macro_f1,bboxROI,3,3,1.1950584148603489e-06,1.7035880702440236e-06,1.7035880702440236e-06,False,0.5877184675670037,0.0010931872734624881,0.00130521571789648,False
R-mf1,val,phase_macro_f1,maskROI,3,3,1.6385011258584004e-06,1.9939451515078514e-06,1.9939451515078514e-06,False,0.5489262605016653,0.0012800395016789132,0.0014120712274909688,False
R-mf1,val,phase_macro_f1,randROI,3,3,2.0944956809389775e-06,3.518082204167964e-06,3.518082204167964e-06,False,0.6268210929425581,0.0014472372579984864,0.0018756551399892157,False
R-mf1,val,phase_macro_f1,shuffleROI,3,3,4.636977454484359e-06,9.86952718582283e-07,9.86952718582283e-07,False,0.17549163809125193,0.0021533642177960417,0.0009934549403884823,True
