rule,contrast,split,scope,metric,is_prereg_phase,n_a,n_b,mean_a,mean_b,sd_A,sd_B,diff,SE,df,t,p,CI_low,CI_high,welch_exceeds,n_videos,all_videos_same_sign,p_sign_under_null
R-topk,4-2,val,all_frames,hemostasis,True,9,9,0.9448040935779749,0.9481018736377185,0.005726534081599372,0.012037064479949074,-0.0032977800597435714,0.004443273491497142,11.44482113786441,-0.7421960556905531,0.47292628273568393,-0.013031183991100585,0.006435623871613443,False,2,False,0.5
R-topk,4-2,val,all_frames,incision,True,9,9,0.9648486821386548,0.9651481730663836,0.00638602088969954,0.0033172708614297186,-0.00029949092772874053,0.002398739223744414,12.024367160271343,-0.12485347501060888,0.9027025989357828,-0.005524720301750122,0.004925738446292641,False,2,False,0.5
R-topk,4-2,val,all_frames,irrigation,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,5-1,val,all_frames,phase_accuracy,False,9,9,0.9456545654565457,0.9470480381371469,0.0013201320132013282,0.0009204180709945826,-0.0013934726806011932,0.0005364407348121692,14.291153066000891,-2.597626522693336,0.020804132069732483,-0.002541828442288999,-0.0002451169189133871,True,2,False,0.5
R-topk,5-1,val,all_frames,phase_macro_f1,False,9,9,0.8021380036474566,0.80460192107889,0.0034679865073540413,0.00429768410261219,-0.002463917431433371,0.0018408035401553198,15.316343557662028,-1.338501028320206,0.20026423168010826,-0.006380450946203666,0.0014526160833369236,False,2,False,0.5
R-topk,5-1,val,all_frames,anesthesia,False,9,9,0.9994301994301994,0.9971509971509972,0.0017094017094017404,0.0027028014189473815,0.002279202279202197,0.0010659992554911707,13.517241379310343,2.1380899352992793,0.05129888449212255,-1.4823102688022761e-05,0.004573227661092417,False,2,False,0.5
R-topk,5-1,val,all_frames,closure,True,9,9,0.9568080677386539,0.9567922375714003,0.0015308971114735535,0.0013783046376937358,1.583016725359432e-05,0.0006866480288899539,15.82678524367865,0.023054267379439823,0.9818951508039072,-0.001441094456565339,0.0014727547910725277,False,2,False,0.5
R-topk,5-1,val,all_frames,design,False,9,9,0.9773513096965653,0.9790649898016786,0.006277748984239199,0.0033709942440888936,-0.0017136801051133022,0.0023751896883967617,12.259347155318002,-0.721491893251703,0.484140705736973,-0.006876657629160516,0.0034492974189339115,False,2,True,0.5
R-topk,5-1,val,all_frames,disinfection,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,5-1,val,all_frames,dissection,False,9,9,0.9546418758092268,0.9566190174782575,0.003134757179827462,0.0018774445571448472,-0.0019771416690307353,0.001217990177009862,13.084897666086349,-1.6232821137232591,0.12836373559146483,-0.004606715053140774,0.0006524317150793028,False,2,True,0.5
R-topk,5-1,val,all_frames,dressing,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,5-1,val,all_frames,hemostasis,True,9,9,0.7838664807225194,0.7952586871151438,0.01670578084564407,0.02995782514400224,-0.011392206392624393,0.011433646259183663,12.53675344930261,-0.9963756210731126,0.33791097587610786,-0.036186200194257154,0.01340178740900837,False,2,False,0.5
R-topk,5-1,val,all_frames,incision,True,9,9,0.9428680921350314,0.9473275184347529,0.0046658702713813375,0.005003274683209216,-0.004459426299721514,0.0022804264451340974,15.922635217649523,-1.9555229721339613,0.06830419554606426,-0.009295624106399253,0.00037677150695622497,False,2,True,0.5
R-topk,5-1,val,all_frames,irrigation,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,2-5,val,all_frames,phase_accuracy,False,9,9,0.965089842317565,0.9456545654565457,0.0013784338928648425,0.0013201320132013282,0.019435276861019313,0.0006362065116574016,15.970210421945609,30.54869213832449,1.3515625948581525e-15,0.018086374814502273,0.020784178907536352,True,2,True,0.5
R-topk,2-5,val,all_frames,phase_macro_f1,False,9,9,0.8341912953865953,0.8021380036474566,0.0023477328275948294,0.0034679865073540413,0.032053291739138734,0.001395977548568111,14.059903925762283,22.961179978873297,1.5124795187678362e-12,0.029060414013236727,0.035046169465040744,True,2,True,0.5
R-topk,2-5,val,all_frames,anesthesia,False,9,9,0.9965811965811966,0.9994301994301994,0.0025641025641026105,0.0017094017094017404,-0.002849002849002802,0.0010272225856022947,13.938144329896906,-2.7735009811260496,0.01498887239049148,-0.005053093809112548,-0.0006449118888930557,True,2,False,0.5
R-topk,2-5,val,all_frames,closure,True,9,9,0.9689511965704595,0.9568080677386539,0.0012860398273657786,0.0015308971114735535,0.012143128831805572,0.0006664620022084339,15.537434721852692,18.220286815403238,6.659148958450209e-12,0.010726866322057004,0.01355939134155414,True,2,False,0.5
R-topk,2-5,val,all_frames,design,False,9,9,0.9852216748768474,0.9773513096965653,1.1775693440128312e-16,0.006277748984239199,0.007870365180282168,0.0020925829947464,8.0,3.761076717167903,0.005535801154070361,0.0030448601411390535,0.012695870219425283,True,2,True,0.5
R-topk,2-5,val,all_frames,disinfection,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,2-5,val,all_frames,dissection,False,9,9,0.9753349529735623,0.9546418758092268,0.0021102024620553053,0.003134757179827462,0.02069307716433555,0.0012596144475082707,14.015193542922908,16.4281040164869,1.494958697239052e-10,0.017991747603835737,0.02339440672483536,True,2,True,0.5
R-topk,2-5,val,all_frames,dressing,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,2-5,val,all_frames,hemostasis,True,9,9,0.9481018736377185,0.7838664807225194,0.012037064479949074,0.01670578084564407,0.16423539291519906,0.006863543261781692,14.54309017265181,23.928659972133044,4.358141876459013e-13,0.14956596345581358,0.17890482237458455,True,2,False,0.5
R-topk,2-5,val,all_frames,incision,True,9,9,0.9651481730663836,0.9428680921350314,0.0033172708614297186,0.0046658702713813375,0.022280080931352142,0.0019083044061112013,14.441683280887291,11.67532855869423,9.51015169375309e-09,0.01819888760284283,0.026361274259861452,True,2,True,0.5
R-topk,2-5,val,all_frames,irrigation,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,8-7,val,all_frames,phase_accuracy,False,9,9,0.9447744774477447,0.9461679501283461,0.001837545994333347,0.001749832092473819,-0.0013934726806014153,0.0008458058375262831,15.961875220303149,-1.6475089420958433,0.11899501928562847,-0.00318684908156494,0.0003999037203621092,False,2,True,0.5
R-topk,8-7,val,all_frames,phase_macro_f1,False,9,9,0.8007809851677615,0.8027253033346071,0.004125220474058143,0.0030492313239506553,-0.0019443181668455933,0.0017099465757265426,14.732213706145039,-1.1370636921913588,0.2736686327763798,-0.0055947615829596495,0.0017061252492684633,False,2,True,0.5
R-topk,8-7,val,all_frames,anesthesia,False,9,9,0.9954415954415955,0.9977207977207977,0.0017094017094017404,0.0027028014189473815,-0.002279202279202197,0.0010659992554911707,13.517241379310343,-2.1380899352992793,0.05129888449212255,-0.004573227661092417,1.4823102688022761e-05,False,2,True,0.5
R-topk,8-7,val,all_frames,closure,True,9,9,0.9587698566778143,0.9583537006806113,0.0016614607875850512,0.0029277651827535303,0.000416155997203016,0.0011221141214504456,12.66845528743762,0.37086780145418047,0.7168636149663773,-0.002014489167281527,0.002846801161687559,False,2,False,0.5
R-topk,8-7,val,all_frames,design,False,9,9,0.9762462166614672,0.9762518540411256,0.0033940771103870247,0.0022372656933127414,-5.637379658418595e-06,0.0013550365806348499,13.847979611531771,-0.004160315477075475,0.9967398967061964,-0.002914897806572761,0.0029036230472559237,False,2,False,0.5
R-topk,8-7,val,all_frames,disinfection,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,8-7,val,all_frames,dissection,False,9,9,0.9527918687590593,0.9555668101043047,0.0023059404533575757,0.001322249555105302,-0.002774941345245363,0.0008860464786157985,12.747535603827941,-3.131823682184752,0.008112820253991281,-0.004692989242712502,-0.0008568934477782241,True,2,True,0.5
R-topk,8-7,val,all_frames,dressing,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,8-7,val,all_frames,hemostasis,True,9,9,0.785017041410051,0.791841222621324,0.023971041092440453,0.019463102151864656,-0.006824181211272928,0.010292517003626078,15.352519297825806,-0.6630235547698151,0.517147411739169,-0.028718369678653623,0.015070007256107767,False,2,False,0.5
R-topk,8-7,val,all_frames,incision,True,9,9,0.9372003172243433,0.9393427381740869,0.003344584823378637,0.003347669916791869,-0.0021424209497435953,0.0015773797370100125,15.999986398990956,-1.358215082567652,0.19324004293365626,-0.005486316844135003,0.0012014749446478128,False,2,False,0.5
R-topk,8-7,val,all_frames,irrigation,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,8-7,val,mask_ne_bbox,phase_accuracy,False,9,9,0.9589120370370371,0.9602347883597884,0.0019607376365131167,0.002041428277920923,-0.001322751322751281,0.0009435112607897886,15.974047564752347,-1.4019454538825964,0.18006395502785344,-0.003323169978677535,0.0006776673331749727,False,2,True,0.5
R-topk,8-7,val,mask_ne_bbox,phase_macro_f1,False,9,9,0.932988280928793,0.9344923535368488,0.004011335877793611,0.003630220915855995,-0.0015040726080557398,0.0018033708998672635,15.843147335500571,-0.8340339794583835,0.41666030122092323,-0.00533012651614013,0.00232198130002865,False,2,True,0.5
R-topk,8-7,val,mask_ne_bbox,anesthesia,False,9,9,0.9953943580886586,0.9976971790443293,0.0017271157167530287,0.0027308097238069,-0.0023028209556706924,0.00107704587990039,13.517241379310343,-2.1380899352993836,0.05129888449211269,-0.004620618621311036,1.4976709969651524e-05,False,2,True,0.5
R-topk,8-7,val,mask_ne_bbox,closure,True,9,9,0.9723277883273117,0.972258211727066,0.0016353817462113776,0.002828490079082418,6.957660024575762e-05,0.001089078590333694,12.811059966930387,0.06388574788201404,0.9500472684865275,-0.002286766855005799,0.0024259200554973145,False,2,False,0.5
R-topk,8-7,val,mask_ne_bbox,design,False,9,9,0.9333333333333333,0.9333333333333333,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,8-7,val,mask_ne_bbox,disinfection,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,8-7,val,mask_ne_bbox,dissection,False,9,9,0.9587201638464818,0.9607836931645166,0.0018428180170139022,0.0015883224580541544,-0.0020635293180347736,0.0008109491335322416,15.659163192298838,-2.544585391005578,0.021898538560888515,-0.003785710817458472,-0.0003413478186110753,True,2,True,0.5
R-topk,8-7,val,mask_ne_bbox,dressing,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,8-7,val,mask_ne_bbox,hemostasis,True,9,9,0.7906254130638545,0.7931533748146434,0.020805920537427983,0.018610330878751018,-0.002527961750788954,0.009304901604509083,15.805052896557006,-0.2716806537281301,0.7893843433121173,-0.02227326442273174,0.01721734092115383,False,2,False,0.5
R-topk,8-7,val,mask_ne_bbox,incision,True,9,9,0.9475286289131173,0.9497283291372034,0.003647313856760606,0.0026796194739718664,-0.0021997002240861097,0.0015086144819007933,14.687740185336818,-1.4580930055202548,0.16586526541906324,-0.005421200249593833,0.001021799801421613,False,2,False,0.5
R-topk,8-7,val,mask_ne_bbox,irrigation,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,9-2,val,all_frames,phase_accuracy,False,9,9,0.9651631829849651,0.965089842317565,0.001351837813800294,0.0013784338928648425,7.334066740005696e-05,0.0006435617445832116,15.993930453108556,0.11396057645961291,0.9106873387459034,-0.0012909913642686062,0.00143767269906872,False,2,False,0.5
R-topk,9-2,val,all_frames,phase_macro_f1,False,9,9,0.8349482598317045,0.8341912953865953,0.0017513603183769069,0.0023477328275948294,0.0007569644451091984,0.0009763373958349345,14.798448791321166,0.7753103059848129,0.45036880798592743,-0.001326520756801802,0.002840449647020199,False,2,True,0.5
R-topk,9-2,val,all_frames,anesthesia,False,9,9,0.9994301994301994,0.9965811965811966,0.0017094017094017404,0.0025641025641026105,0.002849002849002802,0.0010272225856022947,13.938144329896906,2.7735009811260496,0.01498887239049148,0.0006449118888930557,0.005053093809112548,True,2,False,0.5
R-topk,9-2,val,all_frames,closure,True,9,9,0.9682058991778418,0.9689511965704595,0.0031318518643544224,0.0012860398273657786,-0.0007452973926176387,0.0011285386094823534,10.62331634200974,-0.6604092995626418,0.523052966253631,-0.0032399821469710492,0.0017493873617357718,False,2,False,0.5
R-topk,9-2,val,all_frames,design,False,9,9,0.9835415691165958,0.9852216748768474,0.0035669965312116704,1.1775693440128312e-16,-0.0016801057602515712,0.0011889988437372235,8.0,-1.4130423835995636,0.19534761740035975,-0.00442194201066258,0.0010617304901594377,False,2,True,0.5
R-topk,9-2,val,all_frames,disinfection,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,9-2,val,all_frames,dissection,False,9,9,0.9748586706887379,0.9753349529735623,0.0019200483826332512,0.0021102024620553053,-0.00047628228482443635,0.000950995982145785,15.859407337470643,-0.500824707744584,0.6233736373524488,-0.002493757180632023,0.0015411926109831502,False,2,False,0.5
R-topk,9-2,val,all_frames,dressing,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,9-2,val,all_frames,hemostasis,True,9,9,0.9501620428611578,0.9481018736377185,0.009826018194153978,0.012037064479949074,0.002060169223439323,0.005179463237379555,15.383340977211924,0.39775728275689515,0.6962741928733103,-0.008955682961152756,0.013076021408031402,False,2,False,0.5
R-topk,9-2,val,all_frames,incision,True,9,9,0.9684394375473987,0.9651481730663836,0.005369373619152502,0.0033172708614297186,0.0032912644810151326,0.0021038181963632355,13.330495034081071,1.5644243816811623,0.14113983714152475,-0.0012423304619994862,0.007824859424029752,False,2,True,0.5
R-topk,9-2,val,all_frames,irrigation,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,2-1,test,all_frames,phase_accuracy,False,9,9,0.8925621987755634,0.8329295297642307,0.00577637573235424,0.008800395913584764,0.059632669011332684,0.0035089328044794854,13.814103688923034,16.994531481254338,1.1837625657746305e-10,0.052097244180608904,0.06716809384205646,True,3,True,0.25
R-topk,2-1,test,all_frames,phase_macro_f1,False,9,9,0.7386768746562197,0.686162379279653,0.012445883722545997,0.024291682701753765,0.05251449537656672,0.009098143095756888,11.929305049805357,5.77200147588995,9.059618241148148e-05,0.032678307553876726,0.07235068319925671,True,3,True,0.25
R-topk,2-1,test,all_frames,anesthesia,False,9,9,0.9806006029233247,0.9707719882639059,0.012188440296540481,0.01978374503006751,0.009828614659418866,0.007745641385658652,13.308215375334505,1.2689219872245723,0.22621403297624001,-0.0068655165355537215,0.026522745854391454,False,3,True,0.25
R-topk,2-1,test,all_frames,closure,True,9,9,0.9438243303545225,0.9035170286523899,0.005478125495746239,0.004327177438566328,0.04030730170213259,0.0023269991054761787,15.18567512717061,17.321580230639764,2.0529018355130594e-11,0.035352697245506166,0.04526190615875902,True,3,True,0.25
R-topk,2-1,test,all_frames,design,False,9,9,0.9761849349863694,0.949647887495868,0.018263148709219766,0.018615024892472614,0.026537047490501342,0.008692664548165824,15.994176504586145,3.052809336361741,0.007596514523984,0.008108876534943976,0.044965218446058705,True,3,False,0.25
R-topk,2-1,test,all_frames,disinfection,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,3,False,0.25
R-topk,2-1,test,all_frames,dissection,False,9,9,0.830913521965687,0.6881386799137151,0.012200637773405954,0.017630237065590186,0.14277484205197188,0.007146722800360785,14.232946903211491,19.97766613317705,8.181613057799769e-12,0.12747014868976578,0.158079535414178,True,3,True,0.25
R-topk,2-1,test,all_frames,dressing,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,3,False,0.25
R-topk,2-1,test,all_frames,hemostasis,True,9,9,0.7769292121382901,0.7244156120986385,0.037909055910062515,0.015630131502363365,0.052513600039651664,0.01366828254989313,10.643544835362867,3.842004278735243,0.0029047557011127657,0.022306532536803626,0.08272066754249971,True,3,False,0.25
R-topk,2-1,test,all_frames,incision,True,9,9,0.9527055969511213,0.9124029365557784,0.0178938456476904,0.013779721503660835,0.040302660395342915,0.007528246341330625,15.01971972838704,5.3535257174142075,8.009333672788975e-05,0.024258417852700036,0.05634690293798579,True,3,True,0.25
R-topk,2-1,test,all_frames,irrigation,False,9,9,0.4482567979304416,0.34040490125692685,0.04272022630878683,0.12125792621287215,0.10785189667351475,0.04285440779263916,9.955811596835002,2.5167048672188117,0.03065386814078499,0.012308847939095771,0.20339494540793374,True,3,False,0.25
R-topk,3-2,test,all_frames,phase_accuracy,False,9,9,0.89508922756285,0.8925621987755634,0.004905777202493238,0.00577637573235424,0.0025270287872866115,0.0025261557654497114,15.591203142573281,1.0003455930346181,0.3324167695177368,-0.002839616573159261,0.007893674147732484,False,3,False,0.25
R-topk,3-2,test,all_frames,phase_macro_f1,False,9,9,0.7328495053780212,0.7386768746562197,0.0077621749903997355,0.012445883722545997,-0.005827369278198491,0.004889346493672891,13.405650105488345,-1.1918503394552744,0.2539925744407296,-0.016357761014686657,0.004703022458289675,False,3,False,0.25
R-topk,3-2,test,all_frames,anesthesia,False,9,9,0.9591053565577469,0.9806006029233247,0.010828831362570672,0.012188440296540481,-0.02149524636557787,0.005434679440013264,15.781275685896063,-3.955200412984323,0.0011615043119084108,-0.033029243214238634,-0.009961249516917106,True,3,False,0.25
R-topk,3-2,test,all_frames,closure,True,9,9,0.9459563294168455,0.9438243303545225,0.003017939672483774,0.005478125495746239,0.0021319990623229756,0.0020848079798041737,12.446416266662585,1.0226356973764243,0.32594632294407333,-0.0023924032903855467,0.006656401415031498,False,3,False,0.25
R-topk,3-2,test,all_frames,design,False,9,9,0.9463161211650597,0.9761849349863694,0.05028496568694832,0.018263148709219766,-0.02986881382130968,0.01783292951228973,10.0744512404269,-1.6749246836155165,0.1246626764486028,-0.0695632903726067,0.00982566272998734,False,3,False,0.25
R-topk,3-2,test,all_frames,disinfection,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,3,False,0.25
R-topk,3-2,test,all_frames,dissection,False,9,9,0.8431591699956243,0.830913521965687,0.01007698464311197,0.012200637773405954,0.012245648029937328,0.005274689896892041,15.448533233089695,2.321586343332283,0.03429397789868941,0.0010312763778823533,0.0234600196819923,True,3,False,0.25
R-topk,3-2,test,all_frames,dressing,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,3,False,0.25
R-topk,3-2,test,all_frames,hemostasis,True,9,9,0.774145197363982,0.7769292121382901,0.022945569015207255,0.037909055910062515,-0.002784014774308119,0.014770825815414673,13.16813288729542,-0.18848064482642204,0.8533736180373965,-0.03465307606111754,0.0290850465125013,False,3,False,0.25
R-topk,3-2,test,all_frames,incision,True,9,9,0.9459099944169738,0.9527055969511213,0.009965796413690772,0.0178938456476904,-0.006795602534147571,0.006827288466331276,12.527325533941445,-0.9953589287548105,0.33839983712070454,-0.021601834604780448,0.008010629536485306,False,3,False,0.25
