split,contrast,metric,mean_diff,sd,MDE,H6_delta,MDE_vs_H6
test,t1a-s4,F1:closure,-0.01630774783310544,0.00767263694209981,0.019059883543795435,0.0004,47.649708859488584
test,t1a-s4,F1:design,0.25665149150749955,0.026664012084206358,0.06623706673083402,0.0004,165.59266682708503
test,t1a-s4,F1:disinfection,0.0,0.0,0.0,0.0004,0.0
test,t1a-s4,F1:dissection,-0.014695849643885484,0.039371959469840026,0.0978053527162999,0.0004,244.51338179074975
test,t1a-s4,F1:dressing,0.0,0.0,0.0,0.0004,0.0
test,t1a-s4,F1:hemostasis,0.2674816714083591,0.07258542062282762,0.18031215011066073,0.0004,450.7803752766518
test,t1a-s4,F1:incision,0.2271806119450691,0.09260128882376396,0.23003431470892435,0.0004,575.0857867723108
test,t1a-s4,F1:irrigation,0.501031820606143,0.01683766550079939,0.0418270727543104,0.0004,104.567681885776
test,t1a-b2a,accuracy,0.03399765533411492,0.022626936912572483,0.056208417752712105,0.0004,140.52104438178026
test,t1a-b2a,macro_f1,0.13837588273269796,0.01612899119208949,0.04006662847727494,0.0004,100.16657119318735
test,t1a-b2a,F1:anesthesia,0.03432472873706949,0.01981932368716166,0.04923392104236665,0.0004,123.08480260591662
test,t1a-b2a,F1:closure,0.0026078839970396692,0.024962974863127263,0.062011456737543234,0.0004,155.02864184385808
test,t1a-b2a,F1:design,0.19318969570929265,0.01969866172576241,0.048934180164518434,0.0004,122.33545041129608
test,t1a-b2a,F1:disinfection,0.0,0.0,0.0,0.0004,0.0
test,t1a-b2a,F1:dissection,0.056196592844940975,0.05978348159537364,0.14851037598276032,0.0004,371.2759399569008
test,t1a-b2a,F1:dressing,0.0,0.0,0.0,0.0004,0.0
test,t1a-b2a,F1:hemostasis,0.19517205109127442,0.014276465501022175,0.03546470032661635,0.0004,88.66175081654086
test,t1a-b2a,F1:incision,0.12448428887582341,0.07603629106155112,0.18888458605193384,0.0004,472.21146512983455
test,t1a-b2a,F1:irrigation,0.501031820606143,0.01683766550079939,0.0418270727543104,0.0004,104.567681885776
