frame,class,cos,norm_ratio,rel_err_max,label
09_1_0397,"Gauze",0.999906268584951,1.0007059885017973,9172.680349,SAME_TOKEN
09_1_0397,"Raspatory",0.9999062685880703,0.9851597580095025,9030.195670,SAME_TOKEN
10_1_0936,"Electric Cautery",0.9999604933423519,1.0020929201713356,5418.569799,SAME_TOKEN
10_1_0936,"Suction Cannula",0.9999604933021189,1.0005306131808986,5410.120724,SAME_TOKEN
10_1_0936,"Syringe",0.9999604932924615,0.9906787269805835,5356.839231,SAME_TOKEN
10_1_0936,"Skewer",0.9999604932731058,0.9887721593984693,5346.527726,SAME_TOKEN
10_1_1117,"Syringe",0.9999726590047007,1.0054321615050028,4321.701777,SAME_TOKEN
10_1_1117,"Electric Cautery",0.9999726589881437,1.003528032043491,4313.515001,SAME_TOKEN
10_1_1117,"Suction Cannula",0.9999726589860087,1.0015203155245773,4304.883140,SAME_TOKEN
10_1_1117,"Skewer",0.999972659010162,0.9996966938582522,4297.043040,SAME_TOKEN
