split,contrast,system_a,system_b,metric,is_prereg_phase,mean_a,mean_b,sd_a,sd_b,diff,se,df,t_crit,welch_exceeds,boot_ci_lo,boot_ci_hi,boot_crosses_zero,both_criteria_met
val,4-2,randROI,bboxROI,anesthesia,False,0.9948717948717948,0.9982905982905983,0.0,0.0029607706112289036,-0.0034188034188035177,0.0017094017094017404,2.0,4.302652729749462,False,-0.005333333333333412,0.0,True,False
val,4-2,randROI,bboxROI,closure,True,0.9655381505076672,0.9682516551390009,0.0009509728305904559,0.0008848198621932692,-0.0027135046313336852,0.0007499456675993134,3.9793842040659135,2.782126996062559,True,-0.0027135046313336852,0.0,True,False
val,4-2,randROI,bboxROI,design,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
val,4-2,randROI,bboxROI,disinfection,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
val,4-2,randROI,bboxROI,dissection,False,0.9761731277870886,0.9763039518604377,0.0020161254860998224,0.001904260345619327,-0.00013082407334907842,0.0016011422422341167,3.987036115146574,2.7800090521734115,False,-0.0004256906440684993,3.1301549739959356e-06,True,False
val,4-2,randROI,bboxROI,dressing,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
val,4-2,randROI,bboxROI,hemostasis,True,0.9404407054187668,0.934725070251386,0.01676665719215213,0.02679921310642753,0.005715635167380828,0.018251197371888267,3.357685128738246,2.9989940850725305,False,0.0,0.005715635167380828,True,False
val,4-2,randROI,bboxROI,incision,True,0.9615517168246696,0.9674876216741432,0.005362303777808087,0.0029590990161938177,-0.005935904849473594,0.0035360320885202243,3.114710952853496,3.117157230038645,False,-0.025006750267447253,-0.002380982750630256,False,False
val,4-2,randROI,bboxROI,irrigation,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
val,4-2,randROI,bboxROI,phase_accuracy,False,0.9632563256325634,0.965016501650165,0.002016534959276495,0.0013201320132013028,-0.001760176017601589,0.001391541324606541,3.4482758620689413,2.9607304803172436,False,-0.0020060180541625616,-0.0012870012870014325,False,False
