experiment_id,metric,dedup_rule,delta,pstd,ratio_pstd,same_sign,verdict_pstd
transfer/b2a_mask_dim_07/b2a_mask_dim_07@val~relation_detr_seed42,accuracy,first,0.03366336633663369,0.005829545126289013,5.774612874137438,True,significant
transfer/b2a_mask_dim_07/b2a_mask_dim_07@val~relation_detr_seed42,accuracy,latest,0.034543454345434564,0.008161600436079875,4.232436348234936,True,significant
transfer/b2a_mask_dim_07/b2a_mask_dim_07@val~relation_detr_seed42,accuracy,mean,0.03547383309759552,0.006449144464650353,5.500548683943734,True,significant
transfer/b2a_mask_dim_08/b2a_mask_dim_08@val~relation_detr_seed42,accuracy,first,0.03740374037403745,0.003464909955560717,10.795010795016319,True,significant
transfer/b2a_mask_dim_08/b2a_mask_dim_08@val~relation_detr_seed42,accuracy,latest,0.038283828382838316,0.004667371492980516,8.202438661763951,True,significant
transfer/b2a_mask_dim_08/b2a_mask_dim_08@val~relation_detr_seed42,accuracy,mean,0.03921420713499927,0.003955583564414432,9.913633853619364,True,significant
transfer/b2a_mask_dim_09/b2a_mask_dim_09@val~relation_detr_seed42,accuracy,first,0.028822882288228862,0.002430222446025803,11.860182731569928,True,significant
transfer/b2a_mask_dim_09/b2a_mask_dim_09@val~relation_detr_seed42,accuracy,latest,0.02970297029702973,0.004939481698711528,6.0133779430294885,True,significant
transfer/b2a_mask_dim_09/b2a_mask_dim_09@val~relation_detr_seed42,accuracy,mean,0.030633349049190683,0.0030328982451829425,10.100355030982222,True,significant
transfer/b2a_mask_dim_10/b2a_mask_dim_10@val~relation_detr_seed42,accuracy,first,0.03344334433443349,0.005812913009294998,5.753284847193949,True,significant
transfer/b2a_mask_dim_10/b2a_mask_dim_10@val~relation_detr_seed42,accuracy,latest,0.03432343234323435,0.006354028197224944,5.401838216302653,True,significant
transfer/b2a_mask_dim_10/b2a_mask_dim_10@val~relation_detr_seed42,accuracy,mean,0.035253811095395306,0.006289315657321251,5.605349296525948,True,significant
transfer/b2a_mask_dim_11/b2a_mask_dim_11@val~relation_detr_seed42,accuracy,first,0.03652365236523658,0.006246455254819947,5.847100615513713,True,significant
transfer/b2a_mask_dim_11/b2a_mask_dim_11@val~relation_detr_seed42,accuracy,latest,0.03740374037403745,0.008250091643235516,4.533736350032649,True,significant
transfer/b2a_mask_dim_11/b2a_mask_dim_11@val~relation_detr_seed42,accuracy,mean,0.038334119126198406,0.006855014114389779,5.59212840214711,True,significant
