ledger_key,run_id,experiment_id,arm,control_of,pairing_provenance,group,subgroup,path,excluded,exclusion_reason,step,seq,description,seed,seed_command,seed_config,seed_agreement,seed_detector,seed_phase,split,metrics_primary_split,frozen_source_tag,per_class_kind,per_class_metric,per_class_source,per_class_valid_count,eval_recipe_id,host,host_raw,gpu,commit,epoch,notion_page_id,task_id,has_test,n_harvest_warnings,evidence_completeness,metrics_source,metric.AP_common,metric.AP_rare,metric.accuracy,metric.alpha,metric.control_init_mAP,metric.control_mAP,metric.delta_control,metric.delta_detection,metric.edit_score,metric.final_epoch,metric.final_mAP,metric.frame_acc_inline,metric.init_mAP,metric.injection_effect,metric.jaccard,metric.mAP,metric.mAP_50,metric.mAP_75,metric.mAP_baseline,metric.mAP_rescored,metric.macro_f1,metric.miss_ctx,metric.rep,metric.seg_f1_10,metric.seg_f1_25,metric.seg_f1_50,metric.sigma2_d,metric.sigma2_p,metric.sticky_accuracy,metric.sticky_edit_score,metric.sticky_jaccard,metric.sticky_macro_f1,metric.sticky_seg_f1_10,metric.sticky_seg_f1_25,metric.sticky_seg_f1_50,metric.tool_mAP,metric_test.accuracy,metric_test.edit_score,metric_test.jaccard,metric_test.macro_f1,metric_test.seg_f1_10,metric_test.seg_f1_25,metric_test.seg_f1_50,metric_test.sticky_accuracy,metric_test.sticky_edit_score,metric_test.sticky_jaccard,metric_test.sticky_macro_f1,metric_test.sticky_seg_f1_10,metric_test.sticky_seg_f1_25,metric_test.sticky_seg_f1_50
phase0___failed_s3_weighted__s3_001_phase_frame_seed42,s3_001_phase_frame_seed42,phase0/s3/phase_frame@None,unknown,,not_determinable,phase0,_failed_s3_weighted,experiments/phase0/_failed_s3_weighted/s3_001_phase_frame_seed42,True,failed_run,s3,1,phase_frame,42,42,42,agree,,,,,,,,experiments/phase0/_failed_s3_weighted/s3_001_phase_frame_seed42/per_class_ap.json,0,,,,,d1bcc8a3ca3fa1b19ddfda986fe90105e70feefb,,,,False,2,full,metrics_json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase0___failed_s3_weighted__s3_002_phase_frame_seed123,s3_002_phase_frame_seed123,phase0/s3/phase_frame@None,unknown,,not_determinable,phase0,_failed_s3_weighted,experiments/phase0/_failed_s3_weighted/s3_002_phase_frame_seed123,True,failed_run,s3,2,phase_frame,123,123,123,agree,,,,,,,,experiments/phase0/_failed_s3_weighted/s3_002_phase_frame_seed123/per_class_ap.json,0,,,,,d1bcc8a3ca3fa1b19ddfda986fe90105e70feefb,,,,False,2,full,metrics_json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase0___failed_s3_weighted__s3_003_phase_frame_seed456,s3_003_phase_frame_seed456,phase0/s3/phase_frame@None,unknown,,not_determinable,phase0,_failed_s3_weighted,experiments/phase0/_failed_s3_weighted/s3_003_phase_frame_seed456,True,failed_run,s3,3,phase_frame,456,456,456,agree,,,,,,,,experiments/phase0/_failed_s3_weighted/s3_003_phase_frame_seed456/per_class_ap.json,0,,,,,d1bcc8a3ca3fa1b19ddfda986fe90105e70feefb,,,,False,2,full,metrics_json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1__s4_phase_baseline_001_frozen_tecno_phase_baseline_seed42,s4_phase_baseline_001_frozen_tecno_phase_baseline_seed42,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,baseline,,referenced_as_denominator,phase1,,experiments/phase1/s4_phase_baseline_001_frozen_tecno_phase_baseline_seed42,False,,s4_phase_baseline,1,frozen_tecno_phase_baseline,42,42,42,agree,,,val,val,relation_detr_seed42,phase,F1,experiments/phase1/s4_phase_baseline_001_frozen_tecno_phase_baseline_seed42/per_class_ap.json,9,e98ffddee042,lecun,lecun,,0129845290227b350ff79f02aa15f06824f444b4,46,,,False,0,full,metrics_json,,,0.9023102310231023,,,,,,37.111111111111114,,,,,,,,,,,,0.7176772428004633,,,0.38877665544332213,0.37665544332210993,0.3037037037037037,,,,,,,,,,,,,,,,,,,,,,,,
phase1__s4_phase_baseline_002_frozen_tecno_phase_baseline_seed456,s4_phase_baseline_002_frozen_tecno_phase_baseline_seed456,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,baseline,,referenced_as_denominator,phase1,,experiments/phase1/s4_phase_baseline_002_frozen_tecno_phase_baseline_seed456,False,,s4_phase_baseline,2,frozen_tecno_phase_baseline,456,456,456,agree,,,val,val,relation_detr_seed42,phase,F1,experiments/phase1/s4_phase_baseline_002_frozen_tecno_phase_baseline_seed456/per_class_ap.json,9,e98ffddee042,lecun,lecun,,0129845290227b350ff79f02aa15f06824f444b4,43,,,False,0,full,metrics_json,,,0.8957095709570957,,,,,,45.50877192982457,,,,,,,,,,,,0.6865808205142976,,,0.5175983436853002,0.474120082815735,0.42926155969634233,,,,,,,,,,,,,,,,,,,,,,,,
phase1__s4_phase_baseline_003_frozen_tecno_phase_baseline_seed123,s4_phase_baseline_003_frozen_tecno_phase_baseline_seed123,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,baseline,,referenced_as_denominator,phase1,,experiments/phase1/s4_phase_baseline_003_frozen_tecno_phase_baseline_seed123,False,,s4_phase_baseline,3,frozen_tecno_phase_baseline,123,123,123,agree,,,val,val,relation_detr_seed42,phase,F1,experiments/phase1/s4_phase_baseline_003_frozen_tecno_phase_baseline_seed123/per_class_ap.json,9,e98ffddee042,lecun,lecun,,0129845290227b350ff79f02aa15f06824f444b4,46,,,False,0,full,metrics_json,,,0.8976897689768977,,,,,,40.611111111111114,,,,,,,,,,,,0.72151795407792,,,0.4343577620173365,0.4201733648542159,0.3732860520094563,,,,,,,,,,,,,,,,,,,,,,,,
phase1__s4_phase_baseline_004_frozen_tecno_phase_baseline_neck_seed42,s4_phase_baseline_004_frozen_tecno_phase_baseline_neck_seed42,phase1/s4_phase_baseline/frozen_tecno_phase_baseline_neck@val~relation_detr_seed42,unknown,,not_determinable,phase1,,experiments/phase1/s4_phase_baseline_004_frozen_tecno_phase_baseline_neck_seed42,False,,s4_phase_baseline,4,frozen_tecno_phase_baseline_neck,42,42,42,agree,,,val,val,relation_detr_seed42,phase,F1,experiments/phase1/s4_phase_baseline_004_frozen_tecno_phase_baseline_neck_seed42/per_class_ap.json,9,e98ffddee042,lecun,lecun,,0129845290227b350ff79f02aa15f06824f444b4,39,,,False,0,full,metrics_json,,,0.9148514851485149,,,,,,38.021185485688534,,,,,,0.6629461311582706,,,,,,0.7130133950780958,,,0.40103963612735544,0.3588044184535413,0.30942170240415856,,,,,,,,,,,,,,,,,,,,,,,,
phase1__s4_phase_baseline_005_frozen_tecno_phase_baseline_neck_seed123,s4_phase_baseline_005_frozen_tecno_phase_baseline_neck_seed123,phase1/s4_phase_baseline/frozen_tecno_phase_baseline_neck@val~relation_detr_seed42,unknown,,not_determinable,phase1,,experiments/phase1/s4_phase_baseline_005_frozen_tecno_phase_baseline_neck_seed123,False,,s4_phase_baseline,5,frozen_tecno_phase_baseline_neck,123,123,123,agree,,,val,val,relation_detr_seed42,phase,F1,experiments/phase1/s4_phase_baseline_005_frozen_tecno_phase_baseline_neck_seed123/per_class_ap.json,9,e98ffddee042,lecun,lecun,,0129845290227b350ff79f02aa15f06824f444b4,48,,,False,0,full,metrics_json,,,0.9122112211221122,,,,,,40.564373897707235,,,,,,0.6685371468653297,,,,,,0.7327493641004368,,,0.44743589743589746,0.4346153846153846,0.4009615384615384,,,,,,,,,,,,,,,,,,,,,,,,
phase1__s4_phase_baseline_006_frozen_tecno_phase_baseline_neck_seed456,s4_phase_baseline_006_frozen_tecno_phase_baseline_neck_seed456,phase1/s4_phase_baseline/frozen_tecno_phase_baseline_neck@val~relation_detr_seed42,unknown,,not_determinable,phase1,,experiments/phase1/s4_phase_baseline_006_frozen_tecno_phase_baseline_neck_seed456,False,,s4_phase_baseline,6,frozen_tecno_phase_baseline_neck,456,456,456,agree,,,val,val,relation_detr_seed42,phase,F1,experiments/phase1/s4_phase_baseline_006_frozen_tecno_phase_baseline_neck_seed456/per_class_ap.json,9,e98ffddee042,lecun,lecun,,0129845290227b350ff79f02aa15f06824f444b4,18,,,False,0,full,metrics_json,,,0.9155115511551155,,,,,,44.666666666666664,,,,,,0.6618385112968096,,,,,,0.6990341836456107,,,0.5396825396825397,0.5079365079365079,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,
phase1__s4_phase_baseline_007_frozen_tecno_phase_necktransfer_seed42,s4_phase_baseline_007_frozen_tecno_phase_necktransfer_seed42,phase1/s4_phase_baseline/frozen_tecno_phase_necktransfer@val~relation_detr_seed42,unknown,,not_determinable,phase1,,experiments/phase1/s4_phase_baseline_007_frozen_tecno_phase_necktransfer_seed42,False,,s4_phase_baseline,7,frozen_tecno_phase_necktransfer,42,42,42,agree,,,val,val,relation_detr_seed42,phase,F1,experiments/phase1/s4_phase_baseline_007_frozen_tecno_phase_necktransfer_seed42/per_class_ap.json,9,e98ffddee042,lecun,lecun,,0129845290227b350ff79f02aa15f06824f444b4,39,,,False,0,full,metrics_json,,,0.9102310231023102,,,,,,48.666666666666664,,,,,,0.6525728211875549,,,,,,0.7139581365742017,,,0.5694444444444445,0.5416666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,
