experiment_id,metric,sigma_source,arm,control_of,delta_method,delta_dedup_rule,n_seeds,delta,pstd,sstd,ratio_pstd,ratio_sstd,same_sign,verdict_pstd,verdict_sstd,agree,reason
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,jaccard,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.10380233374466645,0.018946039728483962,0.023204064990642027,5.478840709312319,4.473454706601146,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,macro_f1,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.09127071758169059,0.015337116287070178,0.01878405451452561,5.950969913336027,4.858946587442632,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,seg_f1_10,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.06868630749734657,0.042270164933958944,0.051770167715742804,1.6249358762772526,1.326754587207175,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,seg_f1_25,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.08793219826377417,0.04495261926224121,0.05505548989704868,1.9561084472253314,1.5971558590833264,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,seg_f1_50,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.11315211541650837,0.038671733764960796,0.04736300759645668,2.925964377605222,2.3890399102309856,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.018972182932579,0.007176944569581901,0.008789926053857148,2.6434902413749923,2.1584007437984907,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,edit_score,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,2.4353207946210014,5.550305361695497,6.797708026393799,0.4387723982590147,0.358256162983944,False,not_significant,not_significant,True,|Δ| <= σ
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,jaccard,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04838026970269552,0.00930740002419932,0.01139919044562807,5.1980434468172,4.244184701840016,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,macro_f1,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.046600020561067566,0.0024789355292321627,0.0030360635759374855,18.798399559629402,15.348828967350679,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,seg_f1_10,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04939078974212021,0.06255613014929629,0.07661529957445538,0.789543560706909,0.6446596178106937,False,not_significant,not_significant,True,|Δ| <= σ
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,seg_f1_25,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04724779161965892,0.061561062088206116,0.07539659506994963,0.7674947445182344,0.626656834779137,False,not_significant,not_significant,True,|Δ| <= σ
