ledger_key,group,step,seed,split,host,excluded,per_class_kind,per_class_metric,class_name,value,is_nan
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Forceps,0.00099009900990099,False
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Gauze,0.007054152825428588,False
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Hook,0.00016015488011683263,False
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Mouth Gag,0.0,False
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Needle Holders,0.0,False
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Raspatory,0.0010558863195289628,False
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Retractor,0.0,False
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Scalpel,0.03988905517417262,False
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Scissors,0.008557103389000207,False
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Skewer,0.0,False
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Suction Cannula,0.001445043909657123,False
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Syringe,0.021687013892185848,False
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Tweezers,0.07289864746581959,False
_smoke_prior__s0_006_varifocanet_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Bipolar Forceps,0.0,False
