experiment_id,group,step,n_runs,n_seeds,sigma_source,sigma_interpretation,determinism_class,n_runs_det,n_runs_nondet,entrypoints,n_verdicts,n_significant
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_augstrong_seed456,transfer,b2a_det2phase_toolpresence,3,3,paired_delta,seed_effect,uncontrolled,0,3,scripts/train_b2a.py,7,3
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed123,transfer,b2a_det2phase_toolpresence,3,3,paired_delta,seed_effect,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed42,transfer,b2a_det2phase_toolpresence,9,5,paired_delta,mixed_with_nondeterminism,uncontrolled,0,9,scripts/train_b2a.py,7,7
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed456,transfer,b2a_det2phase_toolpresence,3,3,paired_delta,seed_effect,uncontrolled,0,3,scripts/train_b2a.py,7,3
transfer/b2a_mask_dim_00/b2a_mask_dim_00@val~relation_detr_seed42,transfer,b2a_mask_dim_00,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,3
transfer/b2a_mask_dim_01/b2a_mask_dim_01@val~relation_detr_seed42,transfer,b2a_mask_dim_01,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,6
transfer/b2a_mask_dim_02/b2a_mask_dim_02@val~relation_detr_seed42,transfer,b2a_mask_dim_02,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,5
transfer/b2a_mask_dim_03/b2a_mask_dim_03@val~relation_detr_seed42,transfer,b2a_mask_dim_03,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_mask_dim_04/b2a_mask_dim_04@val~relation_detr_seed42,transfer,b2a_mask_dim_04,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_mask_dim_05/b2a_mask_dim_05@val~relation_detr_seed42,transfer,b2a_mask_dim_05,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,6
transfer/b2a_mask_dim_06/b2a_mask_dim_06@val~relation_detr_seed42,transfer,b2a_mask_dim_06,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_mask_dim_07/b2a_mask_dim_07@val~relation_detr_seed42,transfer,b2a_mask_dim_07,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_mask_dim_08/b2a_mask_dim_08@val~relation_detr_seed42,transfer,b2a_mask_dim_08,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,3
transfer/b2a_mask_dim_09/b2a_mask_dim_09@val~relation_detr_seed42,transfer,b2a_mask_dim_09,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_mask_dim_10/b2a_mask_dim_10@val~relation_detr_seed42,transfer,b2a_mask_dim_10,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_mask_dim_11/b2a_mask_dim_11@val~relation_detr_seed42,transfer,b2a_mask_dim_11,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,3
transfer/b2a_mask_dim_12/b2a_mask_dim_12@val~relation_detr_seed42,transfer,b2a_mask_dim_12,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_mask_dim_13/b2a_mask_dim_13@val~relation_detr_seed42,transfer,b2a_mask_dim_13,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,5
transfer/b2a_mask_dim_14/b2a_mask_dim_14@val~relation_detr_seed42,transfer,b2a_mask_dim_14,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_oracle_mask_00/b2a_oracle_mask_00@val~relation_detr_seed42,transfer,b2a_oracle_mask_00,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_oracle_mask_01/b2a_oracle_mask_01@val~relation_detr_seed42,transfer,b2a_oracle_mask_01,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_oracle_mask_02/b2a_oracle_mask_02@val~relation_detr_seed42,transfer,b2a_oracle_mask_02,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_oracle_mask_03/b2a_oracle_mask_03@val~relation_detr_seed42,transfer,b2a_oracle_mask_03,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_oracle_mask_04/b2a_oracle_mask_04@val~relation_detr_seed42,transfer,b2a_oracle_mask_04,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_oracle_mask_05/b2a_oracle_mask_05@val~relation_detr_seed42,transfer,b2a_oracle_mask_05,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
