experiment_id,metric,verdict_pstd,ratio_pstd,n_seeds,sigma_source,sigma_interpretation,determinism_class,pstd,pstd_over_median,a1_source,a2_seeds,a3_interp,a4_ratio,a5_sigma,a6_det,total,fragility,entrypoints
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,edit_score,not_significant,0.4387723982590147,3,paired_delta,mixed_with_nondeterminism,uncontrolled,5.550305361695497,2.1047,0,1,2,3,0,1,7,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,jaccard,significant,5.1980434468172,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.00930740002419932,1.0086,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,macro_f1,significant,18.798399559629402,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.0024789355292321627,0.2845,0,1,2,0,2,1,6,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,seg_f1_10,not_significant,0.789543560706909,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.06255613014929629,2.1738,0,1,2,3,0,1,7,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,seg_f1_25,not_significant,0.7674947445182344,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.061561062088206116,2.2661,0,1,2,3,0,1,7,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,seg_f1_50,not_significant,1.0525082152244096,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.06312983699330439,1.8278,0,1,2,3,0,1,7,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,accuracy,significant,3.622117245307449,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.0034155500854093105,0.9452,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,edit_score,not_significant,0.5840029950846184,3,paired_delta,mixed_with_nondeterminism,uncontrolled,2.067765095511603,0.7841,0,1,2,3,0,1,7,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,jaccard,significant,14.548545483384444,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.0029663049929024342,0.3214,0,1,2,0,2,1,6,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,macro_f1,significant,7.722635337597306,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.0055376724727419155,0.6356,0,1,2,0,1,1,5,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,seg_f1_10,not_significant,0.27440560245746104,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.03209928129606266,1.1155,0,1,2,3,0,1,7,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,seg_f1_25,not_significant,0.8062125765196275,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.03479741473400619,1.2809,0,1,2,3,0,1,7,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,seg_f1_50,not_significant,0.624198666880034,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.034832522025061784,1.0085,0,1,2,3,0,1,7,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,accuracy,significant,7.541858288534811,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.005928877934232792,1.6408,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,edit_score,significant,7.166017897551682,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.9353162494405398,0.3547,0,1,2,0,2,1,6,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,jaccard,significant,10.855833913464108,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.011211946449712518,1.2150,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,macro_f1,significant,10.083685973794822,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.010167249149186843,1.1669,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,seg_f1_10,significant,7.09622355652669,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.013561333619606625,0.4713,0,1,2,0,2,1,6,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,seg_f1_25,significant,9.476014623159235,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.01129655949710173,0.4158,0,1,2,0,2,1,6,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,seg_f1_50,significant,9.9071093859298,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.01613353259176859,0.4671,0,1,2,0,2,1,6,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,accuracy,significant,7.39845636703969,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.0049137170381046,1.3599,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,edit_score,not_significant,0.05027172938241013,3,paired_delta,mixed_with_nondeterminism,uncontrolled,2.905734168654661,1.1019,0,1,2,3,0,1,7,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,jaccard,significant,14.057880542504739,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.007084421809690231,0.7677,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,macro_f1,significant,9.21663866458143,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.0094381210154635,1.0832,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,seg_f1_10,not_significant,0.7636737405027428,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.025724095103138715,0.8939,0,1,2,3,0,1,7,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,seg_f1_25,not_significant,1.1650218220377278,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.026494282226387993,0.9752,0,1,2,3,0,1,7,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,seg_f1_50,significant,2.3387269898125567,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.023148567571072996,0.6702,0,1,2,1,1,1,6,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,accuracy,significant,4.8705811381550514,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.006244291221993858,1.7281,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,edit_score,not_significant,0.7764924484435624,3,paired_delta,mixed_with_nondeterminism,uncontrolled,1.8413654256649785,0.6982,0,1,2,3,1,1,8,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,jaccard,significant,8.202555483949102,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.01048136090828419,1.1358,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,macro_f1,significant,7.40727528108125,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.010319885385532513,1.1844,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,seg_f1_10,not_significant,0.4788997492127547,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.010430961892767753,0.3625,0,1,2,3,2,1,9,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,seg_f1_25,significant,1.9491589983070734,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.0029122021139472874,0.1072,0,1,2,2,3,1,9,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,seg_f1_50,significant,2.1099679972645475,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.02242186439553077,0.6492,0,1,2,1,1,1,6,脆い,scripts/train_b2a.py
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,accuracy,significant,11.26767196241516,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.0035583477472134507,0.9848,0,1,2,0,0,1,4,要注意,/home/ubuntu/slocal2/m2/scripts/train_b2a.py
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,edit_score,significant,1.823413741857274,3,paired_delta,mixed_with_nondeterminism,uncontrolled,1.646448205423315,0.6243,0,1,2,2,1,1,7,脆い,/home/ubuntu/slocal2/m2/scripts/train_b2a.py
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,jaccard,significant,16.532370617906345,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.006889019373268601,0.7465,0,1,2,0,1,1,5,要注意,/home/ubuntu/slocal2/m2/scripts/train_b2a.py
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,macro_f1,significant,11.351105726747774,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.008544980651752672,0.9807,0,1,2,0,0,1,4,要注意,/home/ubuntu/slocal2/m2/scripts/train_b2a.py
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,seg_f1_10,significant,3.5084028603872786,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.012036205023502559,0.4183,0,1,2,0,2,1,6,脆い,/home/ubuntu/slocal2/m2/scripts/train_b2a.py
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,seg_f1_25,significant,7.730279763425654,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.006881754148384365,0.2533,0,1,2,0,2,1,6,脆い,/home/ubuntu/slocal2/m2/scripts/train_b2a.py
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,seg_f1_50,significant,13.706430471364571,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.007202110171373092,0.2085,0,1,2,0,3,1,7,脆い,/home/ubuntu/slocal2/m2/scripts/train_b2a.py
transfer/b2a_det2phase_oracletool/b2a_det2phase_oracletool@val~relation_detr_seed42,accuracy,significant,11.423346198558852,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.0052336910132569,1.4484,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_det2phase_oracletool/b2a_det2phase_oracletool@val~relation_detr_seed42,edit_score,significant,3.7367660032970496,3,paired_delta,mixed_with_nondeterminism,uncontrolled,3.409117998583763,1.2927,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_det2phase_oracletool/b2a_det2phase_oracletool@val~relation_detr_seed42,jaccard,significant,14.01506997686697,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.01165588749416923,1.2631,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_det2phase_oracletool/b2a_det2phase_oracletool@val~relation_detr_seed42,macro_f1,significant,12.940916925573283,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.010040505261169546,1.1524,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_det2phase_oracletool/b2a_det2phase_oracletool@val~relation_detr_seed42,seg_f1_10,significant,4.552314216697369,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.03537752725325165,1.2294,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
