# AUTO-GENERATED by `make context`. DO NOT EDIT. generated_from=runindex/ generated_from_digest=4fd482eac961
experiment_id,metric,sigma_source,arm,control_of,delta_method,delta_dedup_rule,n_seeds,delta,pstd,sstd,ratio_pstd,ratio_sstd,same_sign,verdict_pstd,verdict_sstd,agree,reason
transfer/b2a_mask_dim_11/b2a_mask_dim_11@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.038334119126198406,0.006855014114389779,0.008395643379915838,5.59212840214711,4.565953720461944,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_mask_dim_12/b2a_mask_dim_12@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04009429514380014,0.002749195360697807,0.0033670629184681888,14.58401091351446,11.9077950470972,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_mask_dim_13/b2a_mask_dim_13@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04009429514380014,0.0028339207603174095,0.0034708299171289,14.147994434152574,11.551789082470075,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_mask_dim_14/b2a_mask_dim_14@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.03965425113939972,0.003685137650608906,0.004513353437955307,10.760588856931175,8.785984010453292,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_00/b2a_oracle_mask_00@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.0497752632406098,0.006060849657897955,0.007422994534785987,8.212588341594508,6.705550301478819,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_01/b2a_oracle_mask_01@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.06143642935722149,0.005063437526700487,0.006201419142438133,12.13334400459279,9.906833894969935,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_02/b2a_oracle_mask_02@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.06209649536382211,0.00551304030813848,0.00675206784316771,11.263566361405665,9.196663423140274,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_03/b2a_oracle_mask_03@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.06275656137042278,0.004059128180845261,0.004971396421811304,15.460601039052316,12.623527887473864,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_04/b2a_oracle_mask_04@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.06187647336162191,0.003981027362805911,0.004875742845466122,15.54284050889067,12.69067613341419,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_05/b2a_oracle_mask_05@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.060996385352821036,0.006070426822812933,0.007434724118398078,10.048121348501216,8.204256725798134,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_06/b2a_oracle_mask_06@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.05593587930221596,0.003086242267223496,0.0037798593886539267,18.124267137504425,14.798402149593109,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_07/b2a_oracle_mask_07@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.05967625333961971,0.0048070016448641855,0.005887350611318344,12.414444127219719,10.136351183993186,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_08/b2a_oracle_mask_08@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.06187647336162191,0.00502917648804001,0.006159458111050166,12.303500087692615,10.045765755044998,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_09/b2a_oracle_mask_09@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.050215307245010256,0.005166463733415776,0.006327599960731613,9.719473480521408,7.935916865263435,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_10/b2a_oracle_mask_10@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.060996385352821036,0.006032714784549374,0.007388536492945061,10.110934716993635,8.255543626408748,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_11/b2a_oracle_mask_11@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.061656451359421695,0.0048070016448641855,0.005887350611318344,12.82638449381344,10.472699084863075,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_12/b2a_oracle_mask_12@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.060996385352821036,0.005327785959080135,0.006525178529255514,11.448730452255692,9.34784927022991,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_13/b2a_oracle_mask_13@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.059896275341819925,0.004348659218506229,0.00532599807529526,13.773504046241266,11.246018961150194,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_14/b2a_oracle_mask_14@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.06077636335062083,0.003987969936401281,0.004884245726871311,15.239925154868404,12.443346782544495,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_oracle_mask_top3_joint/b2a_oracle_mask_top3_joint@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.024032688983184076,0.0015309019798808424,0.0018749643484622914,15.698385199720402,12.817677841658126,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_mask_00/b2a_regiononly_mask_00@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.02887317303158891,0.002482715510375457,0.0030406930884566926,11.629674407287393,9.495589390852835,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_regiononly_mask_01/b2a_regiononly_mask_01@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04273455917020278,0.0026633329099722738,0.003261903322296979,16.04551913513796,13.101111513050547,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
