# AUTO-GENERATED by `make context`. DO NOT EDIT. generated_from=runindex/ generated_from_commit=f96edc1ccdda8d124e6069edeeac3ead8ec9cfdd generated_from_date=2026-08-09T18:43:15+00:00
experiment_id,group,step,description,arm,control_of,task_ids,n_runs,n_seeds,hosts,split,primary_mean,primary_pstd,primary_sstd,delta_primary,delta_pstd_primary,abs_delta_over_sigma_primary,verdict_metric,verdict_10_1,verdict_10_1_sstd,verdict_10_1_agree,sigma_source,delta_sigma_source,sigma_interpretation
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed42,transfer,b2a_det2phase_toolpresence,b2a_det2phase_toolpresence,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,9,5,"efros,lecun",val,0.9369270260359369,0.0018698274710644725,0.001983251526657872,0.040130965477500134,0.003942088684327984,10.18012751388452,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed456,transfer,b2a_det2phase_toolpresence,b2a_det2phase_toolpresence,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed456,,3,3,efros,val,0.9258525852585259,0.0008232469497852397,0.0010082674796382414,0.037843784378437904,0.01091717159960862,3.466445867700257,accuracy,significant,significant,True,paired_delta,paired,seed_effect
transfer/b2a_mask_dim_00/b2a_mask_dim_00@val~relation_detr_seed42,transfer,b2a_mask_dim_00,b2a_mask_dim_00,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9282728272827283,0.0006223161990640862,0.0007621785731876468,0.03151343705799159,0.0029711600291948926,10.606442180272234,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_mask_dim_01/b2a_mask_dim_01@val~relation_detr_seed42,transfer,b2a_mask_dim_01,b2a_mask_dim_01,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9366336633663367,0.0021557665503042444,0.002640264026402661,0.039874273141599935,0.0024314904815581143,16.399107232387045,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_mask_dim_02/b2a_mask_dim_02@val~relation_detr_seed42,transfer,b2a_mask_dim_02,b2a_mask_dim_02,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9348734873487349,0.0011218964826386654,0.0013740369633439683,0.03811409712399816,0.0024827155103755096,15.351777907986493,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_mask_dim_03/b2a_mask_dim_03@val~relation_detr_seed42,transfer,b2a_mask_dim_03,b2a_mask_dim_03,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.937073707370737,0.0025469388124950607,0.00311935024835151,0.040314317146000346,0.005705374842915346,7.066024276399768,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_mask_dim_04/b2a_mask_dim_04@val~relation_detr_seed42,transfer,b2a_mask_dim_04,b2a_mask_dim_04,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9357535753575358,0.004356213393448473,0.005335250012313367,0.03899418513279903,0.007730121396640095,5.044446669330172,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_mask_dim_05/b2a_mask_dim_05@val~relation_detr_seed42,transfer,b2a_mask_dim_05,b2a_mask_dim_05,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9377337733773378,0.004708676470634236,0.005766927358451528,0.04097438315260101,0.008093055551568806,5.062906450043864,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_mask_dim_06/b2a_mask_dim_06@val~relation_detr_seed42,transfer,b2a_mask_dim_06,b2a_mask_dim_06,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9311331133113312,0.0016464938995704895,0.002016534959276495,0.03437372308659444,0.0036375389753897083,9.449719527173398,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_mask_dim_07/b2a_mask_dim_07@val~relation_detr_seed42,transfer,b2a_mask_dim_07,b2a_mask_dim_07,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9322332233223323,0.003064551876168143,0.003753294193450405,0.03547383309759552,0.006449144464650353,5.500548683943734,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_mask_dim_08/b2a_mask_dim_08@val~relation_detr_seed42,transfer,b2a_mask_dim_08,b2a_mask_dim_08,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.935973597359736,0.001943181708762996,0.0023799018319894238,0.03921420713499927,0.003955583564414432,9.913633853619364,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_mask_dim_09/b2a_mask_dim_09@val~relation_detr_seed42,transfer,b2a_mask_dim_09,b2a_mask_dim_09,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9273927392739274,0.000538941637576027,0.0006600660066006236,0.030633349049190683,0.0030328982451829425,10.100355030982222,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_mask_dim_10/b2a_mask_dim_10@val~relation_detr_seed42,transfer,b2a_mask_dim_10,b2a_mask_dim_10,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.932013201320132,0.003886363417526017,0.004759803663978878,0.035253811095395306,0.006289315657321251,5.605349296525948,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_mask_dim_11/b2a_mask_dim_11@val~relation_detr_seed42,transfer,b2a_mask_dim_11,b2a_mask_dim_11,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9350935093509352,0.003506573696481666,0.004294658150922567,0.038334119126198406,0.006855014114389779,5.59212840214711,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_mask_dim_12/b2a_mask_dim_12@val~relation_detr_seed42,transfer,b2a_mask_dim_12,b2a_mask_dim_12,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9368536853685369,0.0008232469497852397,0.0010082674796382414,0.04009429514380014,0.002749195360697807,14.58401091351446,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_mask_dim_13/b2a_mask_dim_13@val~relation_detr_seed42,transfer,b2a_mask_dim_13,b2a_mask_dim_13,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9368536853685369,0.0016464938995704498,0.0020165349592764464,0.04009429514380014,0.0028339207603174095,14.147994434152574,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_mask_dim_14/b2a_mask_dim_14@val~relation_detr_seed42,transfer,b2a_mask_dim_14,b2a_mask_dim_14,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9364136413641364,0.0003111580995320693,0.00038108928659385546,0.03965425113939972,0.003685137650608906,10.760588856931175,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_oracle_mask_00/b2a_oracle_mask_00@val~relation_detr_seed42,transfer,b2a_oracle_mask_00,b2a_oracle_mask_00,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9465346534653465,0.003000700043341244,0.0036750919886667077,0.0497752632406098,0.006060849657897955,8.212588341594508,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_oracle_mask_01/b2a_oracle_mask_01@val~relation_detr_seed42,transfer,b2a_oracle_mask_01,b2a_oracle_mask_01,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9581958195819582,0.002546938812495096,0.0031193502483515528,0.06143642935722149,0.005063437526700487,12.13334400459279,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_oracle_mask_02/b2a_oracle_mask_02@val~relation_detr_seed42,transfer,b2a_oracle_mask_02,b2a_oracle_mask_02,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9588558855885588,0.0021781066967242234,0.002667625006156668,0.06209649536382211,0.00551304030813848,11.263566361405665,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_oracle_mask_03/b2a_oracle_mask_03@val~relation_detr_seed42,transfer,b2a_oracle_mask_03,b2a_oracle_mask_03,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9595159515951595,0.0015557904976601894,0.001905446432969085,0.06275656137042278,0.004059128180845261,15.460601039052316,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_oracle_mask_04/b2a_oracle_mask_04@val~relation_detr_seed42,transfer,b2a_oracle_mask_04,b2a_oracle_mask_04,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9586358635863587,0.0029682590898200043,0.0036353600972185165,0.06187647336162191,0.003981027362805911,15.54284050889067,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_oracle_mask_05/b2a_oracle_mask_05@val~relation_detr_seed42,transfer,b2a_oracle_mask_05,b2a_oracle_mask_05,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9577557755775578,0.002851811088408296,0.0034927410047057264,0.060996385352821036,0.006070426822812933,10.048121348501216,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_oracle_mask_06/b2a_oracle_mask_06@val~relation_detr_seed42,transfer,b2a_oracle_mask_06,b2a_oracle_mask_06,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9526952695269527,0.0003111580995320693,0.00038108928659385546,0.05593587930221596,0.003086242267223496,18.124267137504425,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_oracle_mask_07/b2a_oracle_mask_07@val~relation_detr_seed42,transfer,b2a_oracle_mask_07,b2a_oracle_mask_07,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9564356435643564,0.0014259055442041738,0.0017463705023528947,0.05967625333961971,0.0048070016448641855,12.414444127219719,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_oracle_mask_08/b2a_oracle_mask_08@val~relation_detr_seed42,transfer,b2a_oracle_mask_08,b2a_oracle_mask_08,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9586358635863587,0.0016464938995704992,0.002016534959276507,0.06187647336162191,0.00502917648804001,12.303500087692615,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
