p,L,n_seeds,n_vids,err_rate_actual,mean_run_len,d_acc,se_acc,eff_acc,neg_acc,d_edit,se_edit,eff_edit,neg_edit,d_mF1,se_mF1,eff_mF1,neg_mF1,d_segF50,se_segF50,eff_segF50,neg_segF50,selectivity,sel_sstd,sel_min,sel_max,denom_eff,sel_per_seed
0.05,2,3,15,0.04992766297423938,2.051407520666599,-0.045304122716151765,0.008580659555345684,5.2797949183204285,15,-24.61820173176159,6.64870926753424,3.702703899533205,14,-0.07829971049564202,0.012004264621293514,6.522657819184668,14,-0.24124215317751638,0.057890620846899346,4.167206183805117,14,5.4339870757468045,0.5715164933489773,5.050394593451688,6.110227381395138,5.2797949183204285,5.209556|6.110227|5.050395
0.05,4,3,15,0.049312978198124274,4.0463565800479335,-0.0763851991984099,0.008946357971701987,8.538133555578943,15,-30.21896042453651,5.896351401678107,5.125027049089403,15,-0.12378674538051435,0.01577471255864554,7.847163295071985,14,-0.31538592248656233,0.05391201032646787,5.850012280690727,15,3.9561277239119352,0.2872184754114443,3.735056011386847,4.2891363739745385,8.538133555578943,3.735056|3.880835|4.289136
0.05,8,3,15,0.04904090460869628,8.027181664089479,-0.10826060594361878,0.015205938911018431,7.119626520738661,15,-26.8684806810111,6.03019166301851,4.455659485218028,14,-0.14647951026576364,0.016253351190568397,9.012265135251846,15,-0.2915947244087545,0.05155885134512152,5.655570611084707,14,2.4818335761952026,0.18440835246293524,2.269507917173565,2.6020611177412603,7.119626520738661,2.573899|2.269508|2.602061
0.05,16,3,15,0.047935335737369814,15.894271632705232,-0.12563566810484225,0.013052049924876824,9.625742226543615,15,-23.672020439333405,5.71733871580322,4.140391468132172,14,-0.18029860531658656,0.015833089799467102,11.387455487219867,15,-0.26279120246527204,0.04855448738059944,5.412294859697635,15,1.8841799304620435,0.0905706629688082,1.7842074908018153,1.9481972714504323,9.625742226543615,1.784207|1.948197|1.932833
0.05,32,3,15,0.046697328928332366,31.31180820962162,-0.11454516722927238,0.01772871963284713,6.460994905523084,15,-17.7739578231722,5.592679736978874,3.1780753876626533,13,-0.1458673407613652,0.01627323340957945,8.963635995996869,15,-0.21342919587395948,0.04771147096403193,4.473330869108113,15,1.5516986227446887,0.062175966235148414,1.4944609478240336,1.617083389342027,6.460994905523084,1.617083|1.537874|1.494461
0.05,64,3,15,0.0450922387049873,60.966991354701676,-0.100866909127922,0.009650405353731425,10.452090397313809,15,-13.222026571477876,4.981497374581188,2.6542273491792208,13,-0.14463042237405443,0.016223209983430752,8.915031151157496,15,-0.17784752401500725,0.04713968934423261,3.7727767511638537,14,1.3108388752855868,0.09265530785255638,1.2201064492037428,1.4046653786289676,10.452090397313809,1.326826|1.220106|1.404665
0.1,1,3,15,0.10030734238805755,1.1117111895731169,-0.04868967511934812,0.008649421245473465,5.629240817104274,14,-22.590221424443467,5.861117684364237,3.8542514655024975,14,-0.07876264649575723,0.015297415103603816,5.148755261089964,13,-0.24140926727647088,0.04792337884417362,5.037400807264254,14,4.639632811077568,1.3073398471667725,3.3853077157066767,5.990083355525833,5.629240817104274,3.385308|5.990083|4.884597
0.1,2,3,15,0.0962723039162762,2.1076885487983,-0.07516937881127013,0.009924215695918332,7.574339485808039,15,-33.047314624311284,6.059723721762633,5.453600880453769,15,-0.12036408746715321,0.015165212313859555,7.936854755218424,15,-0.3565241553520372,0.0498339664612935,7.154239982662284,15,4.396379901885861,0.35168320573025635,4.119279634070541,4.80265765792539,7.574339485808039,4.802658|4.316784|4.119280
0.1,4,3,15,0.09483564020067227,4.097986804296211,-0.12411665161657191,0.013542569392111023,9.164926390473125,15,-36.40787114705797,6.157548797001906,5.91272149800662,15,-0.18360600244148959,0.01699422490872114,10.804023333083357,15,-0.41022246177017846,0.05616490428377525,7.303893187416725,15,2.93335911602991,0.09029240400255076,2.871256088021649,3.0384817739791488,9.164926390473125,3.038482|2.895836|2.871256
0.1,8,3,15,0.09354437030799018,8.073357824713208,-0.17528080769879245,0.013772503789146856,12.726865817740341,15,-33.730829152098245,6.022289834584792,5.600997308098477,15,-0.231944018496372,0.017893296237605775,12.962621051838543,15,-0.4009192296605711,0.0565740959250606,7.086621944284152,15,1.924388048808074,0.13339727182686625,1.7782988985503116,2.0200111548338215,12.726865817740341,1.778299|2.020011|1.996960
0.1,16,3,15,0.09232939618377203,15.919190128167905,-0.2075320979142897,0.019147473669293633,10.83861513527522,15,-29.191225421612145,5.834716825028258,5.003023505167411,15,-0.2653458001208076,0.02206987582888341,12.022985637895742,15,-0.3624298128006211,0.05193453197414411,6.978590140776829,15,1.4065884610132964,0.07537026252073879,1.3540277941598864,1.4951671200080103,10.83861513527522,1.378752|1.354028|1.495167
0.1,32,3,15,0.09033131077569764,31.310522149431556,-0.23964899824157918,0.01578517842414217,15.181899868490252,15,-24.657833234785034,5.9572360557624675,4.139139863516634,14,-0.2716871572922881,0.01669232236531974,16.276174839323144,15,-0.3303005854239269,0.05611158081741504,5.886495810886392,15,1.0289145131300987,0.17954383075484273,0.9186501173719206,1.2560914832558276,15.181899868490252,0.981032|1.256091|0.918650
