p,L,n_seeds,n_vids,err_rate_actual,mean_run_len,d_acc,se_acc,eff_acc,neg_acc,d_edit,se_edit,eff_edit,neg_edit,d_mF1,se_mF1,eff_mF1,neg_mF1,d_segF50,se_segF50,eff_segF50,neg_segF50,selectivity,sel_sstd,sel_min,sel_max,denom_eff,sel_per_seed
0.2,4,3,15,0.1752657755896727,4.206333412587976,-0.3307799394280472,0.022879201258319257,14.457669902605106,15,-47.908620838402655,6.29663375248563,7.608608459955364,15,-0.415607558726949,0.02234654397715734,18.598292387036825,15,-0.5421893443819497,0.0659463537549847,8.221672822069667,15,1.448353274422918,0.026062255649955787,1.4232162606820553,1.4753047725328032,14.457669902605106,1.475305|1.423216|1.447583
0.2,8,3,15,0.1725364024385855,8.16347555490779,-0.359153928344706,0.02854947491496056,12.58005372829121,15,-43.756621799391056,6.128292226629867,7.140100403380102,15,-0.4283633790335285,0.022494655233076425,19.042895949952484,15,-0.5216462530852489,0.06461193034363708,8.073528376429636,15,1.218325022952127,0.028872245903760158,1.186575316476138,1.2421327057561276,12.58005372829121,1.186575|1.242133|1.227987
0.2,16,3,15,0.1695378347836727,16.021604094515638,-0.3616342159970112,0.024369043205884514,14.839902122611264,15,-37.9325450221604,5.95597883854175,6.368817964344502,15,-0.42689666346376004,0.026561474754580015,16.072024140532708,15,-0.4913855498897085,0.06462027189498043,7.604201212404344,15,1.0489202443851138,0.03368855466338498,1.0136886709093875,1.0804776138173546,14.839902122611264,1.013689|1.080478|1.054776
0.2,32,3,15,0.16707045842240503,31.53972340423756,-0.38107673772717776,0.025473183885185092,14.959917827500455,15,-31.870984234637096,5.47060106620157,5.825865174403265,15,-0.44052049929102455,0.027333456105992488,16.116531242254666,15,-0.441197840709523,0.05549107095901412,7.950789795269821,15,0.8363403241227052,0.02876836480394988,0.804235773039038,0.859616909824116,14.959917827500455,0.804236|0.859617|0.845438
0.2,64,3,15,0.162702885563545,61.52873106365913,-0.378880645984424,0.031126827166266052,12.172157604133805,15,-28.00593702030426,5.436142817926597,5.151803026210048,14,-0.41785131291572186,0.03663262484271333,11.406534877307257,15,-0.40737904889575866,0.06300843258275778,6.46546870310876,15,0.7391757092141255,0.05287237505747853,0.6870731275720238,0.7928126527102157,12.172157604133805,0.687073|0.739033|0.792813
0.4,1,3,15,0.4004678514103921,1.6699414645357118,-0.5631321871479782,0.04395106471512522,12.812708652179321,15,-51.639977110019046,6.47441360223193,7.976008374290013,15,-0.6605205452728725,0.032373729246961074,20.402979843135487,15,-0.5725111272178347,0.06859015129680655,8.34684158576116,15,0.9170134168951214,0.007029794790357998,0.9090443485667076,0.9221957426752302,12.812708652179321,0.922196|0.919925|0.909044
0.4,2,3,15,0.3333261356193273,2.49713598193726,-0.5177072252280902,0.03978400880317263,13.012947684316945,15,-51.34299115164338,6.474296632014472,7.930280935501106,15,-0.5972688561212653,0.02953490143718613,20.222476699017175,15,-0.5692546097177725,0.06844131029451349,8.31741249938352,15,0.9917379679030519,0.015190686287507953,0.9790735478079092,1.008677685999626,13.012947684316945,0.987962|1.008678|0.979074
0.4,4,3,15,0.3077080319290593,4.435811143942017,-0.5074236578445533,0.033978552650775914,14.933645439808517,15,-49.59601095095399,6.387382187275706,7.764685045738163,15,-0.5741685877058653,0.0255392879612012,22.48177743162344,15,-0.5609795284127629,0.06746575118779503,8.31502678820313,15,0.9774083290012361,0.0061867834263560776,0.9730755736755121,0.9845080130105703,14.933645439808517,0.974693|0.984508|0.973076
0.4,8,3,15,0.29669984812823447,8.387692523588248,-0.5099961482516738,0.036439916897892326,13.995535436612697,15,-46.25468198033548,6.239562529182329,7.413129007683328,15,-0.5697654347162441,0.02665088924632619,21.37885266979547,15,-0.5554313810618178,0.06815762193661297,8.149218902889137,15,0.9069613984125549,0.020807585844197944,0.8853390380601932,0.9266813048264843,13.995535436612697,0.885339|0.926681|0.910131
0.4,16,3,15,0.2925007017771156,16.249002448596954,-0.5196748136493387,0.034507360225219205,15.05982521576779,15,-41.49964394785586,6.105846585286027,6.796705971594898,15,-0.5752727260545738,0.028158438487347504,20.42985182978319,15,-0.536967270897869,0.06652399657646678,8.071783093799029,15,0.7985694680184867,0.009696432387683163,0.7890804968235151,0.8084693859515233,15.05982521576779,0.808469|0.798435|0.789080
0.4,32,3,15,0.2879171974980746,31.698872098844117,-0.520361373188153,0.037281812158865515,13.95751287439531,15,-36.013950535236404,5.897897707109188,6.106235191537153,15,-0.5596751022158832,0.034697086480468806,16.130319833364904,15,-0.5113784564503516,0.0646993472639805,7.903919870533947,15,0.6920950014907127,0.02333819120680907,0.6657028524787665,0.7082025795474114,13.95751287439531,0.665703|0.708203|0.703666
0.4,64,3,15,0.2827146898145149,61.85615416210295,-0.5090032545976958,0.03693959828531803,13.7793391976329,15,-31.799477698877155,5.780533841982775,5.501131654644833,15,-0.5167374521714451,0.03226757941598503,16.014137456975114,15,-0.4803910567386158,0.06188254578873205,7.762949158211399,15,0.6247401644614378,0.01999169884523773,0.6081123753858378,0.6470346840983806,13.7793391976329,0.619649|0.608112|0.647035
