arm,p,L,seed,vid,err_rate_actual,mean_run_len,phase_accuracy,phase_macro_f1,phase_edit_score,phase_seg_f1_50
testonly,0.1,4,27,05,0.09514370236013042,4.096504276682782,0.34448979591836737,0.32394933972199086,8.268733850129195,0.06224066390041493
testonly,0.1,4,27,06,0.09514370236013042,4.096504276682782,0.7041334300217549,0.5182127900740936,7.334902296391388,0.05128205128205128
testonly,0.1,4,27,07,0.09514370236013042,4.096504276682782,0.5534774985388662,0.4417487127778674,6.245752633367307,0.04979253112033195
testonly,0.1,4,27,08,0.09514370236013042,4.096504276682782,0.7057142857142857,0.554667133778666,7.333983317083742,0.04411764705882353
testonly,0.1,4,27,09,0.09514370236013042,4.096504276682782,0.7567567567567568,0.7963276892608607,5.970149253731338,0.028169014084507043
testonly,0.1,4,27,10,0.09514370236013042,4.096504276682782,0.7642928786359077,0.614380556615602,15.802987861811392,0.09271523178807946
testonly,0.1,4,27,11,0.09514370236013042,4.096504276682782,0.8209549071618037,0.5914558275156118,16.666666666666664,0.1680672268907563
testonly,0.1,4,27,12,0.09514370236013042,4.096504276682782,0.6929392446633826,0.6299415895260229,13.913043478260867,0.04580152671755725
testonly,0.1,4,27,13,0.09514370236013042,4.096504276682782,0.6970802919708029,0.5089655017242954,23.717948717948723,0.13471502590673576
testonly,0.1,4,27,14,0.09514370236013042,4.096504276682782,0.6060773480662983,0.4957947428851737,13.205781428719975,0.03589743589743591
testonly,0.1,4,27,15,0.09514370236013042,4.096504276682782,0.8071428571428572,0.6376148409893992,24.0,0.1935483870967742
testonly,0.1,8,7,01,0.09316577055127291,8.04662439388288,0.7590361445783133,0.6418064339701379,25.773195876288657,0.1951219512195122
testonly,0.1,8,7,02,0.09316577055127291,8.04662439388288,0.6984815618221258,0.6810784167357605,11.66666666666667,0.05970149253731343
testonly,0.1,8,7,03,0.09316577055127291,8.04662439388288,0.6758494031221304,0.5013515918688042,15.200000000000003,0.1388888888888889
testonly,0.1,8,7,04,0.09316577055127291,8.04662439388288,0.5530474040632054,0.44524954572616376,4.643206256109478,0.014285714285714287
testonly,0.1,8,7,05,0.09316577055127291,8.04662439388288,0.39591836734693875,0.388675162937633,13.194444444444446,0.10588235294117647
testonly,0.1,8,7,06,0.09316577055127291,8.04662439388288,0.7012327773749093,0.515826788099332,10.391260162601629,0.0816326530612245
testonly,0.1,8,7,07,0.09316577055127291,8.04662439388288,0.5967270601987142,0.4703632626592077,9.7273171924676,0.0783132530120482
testonly,0.1,8,7,08,0.09316577055127291,8.04662439388288,0.6485714285714286,0.46100904638913476,9.51254627725216,0.03614457831325301
testonly,0.1,8,7,09,0.09316577055127291,8.04662439388288,0.666023166023166,0.7022219130113208,6.25,0.029411764705882353
testonly,0.1,8,7,10,0.09316577055127291,8.04662439388288,0.7372116349047142,0.5677392871858487,21.792452830188672,0.19783715012722647
testonly,0.1,8,7,11,0.09316577055127291,8.04662439388288,0.7480106100795756,0.5227577279001535,20.512820512820518,0.21052631578947367
testonly,0.1,8,7,12,0.09316577055127291,8.04662439388288,0.7405582922824302,0.6490883471297554,28.57142857142857,0.25000000000000006
testonly,0.1,8,7,13,0.09316577055127291,8.04662439388288,0.6970802919708029,0.5081452423876587,33.66336633663366,0.2898550724637681
testonly,0.1,8,7,14,0.09316577055127291,8.04662439388288,0.63646408839779,0.4715580231490016,19.615613235585492,0.06666666666666667
testonly,0.1,8,7,15,0.09316577055127291,8.04662439388288,0.6595238095238095,0.5442142192979796,24.444444444444446,0.14035087719298245
testonly,0.1,8,17,01,0.09327805488976701,8.101650412603151,0.7272727272727273,0.6883806794047335,23.584905660377352,0.2121212121212121
testonly,0.1,8,17,02,0.09327805488976701,8.101650412603151,0.6247288503253796,0.5296286487026625,10.9375,0.028169014084507043
testonly,0.1,8,17,03,0.09327805488976701,8.101650412603151,0.6629935720844812,0.5127241394369186,16.10169491525424,0.13138686131386862
testonly,0.1,8,17,04,0.09327805488976701,8.101650412603151,0.5507900677200903,0.4698537570385215,4.705422314911367,0.013793103448275862
testonly,0.1,8,17,05,0.09327805488976701,8.101650412603151,0.3526530612244898,0.39849964897043005,12.689691261119828,0.09826589595375723
testonly,0.1,8,17,06,0.09327805488976701,8.101650412603151,0.7266134880348079,0.5426951338501882,11.430647840531567,0.13235294117647062
testonly,0.1,8,17,07,0.09327805488976701,8.101650412603151,0.5447106954997077,0.42993457501659765,8.707569049125025,0.04494382022471911
testonly,0.1,8,17,08,0.09327805488976701,8.101650412603151,0.6657142857142857,0.515803513506157,9.848484848484844,0.07741935483870967
testonly,0.1,8,17,09,0.09327805488976701,8.101650412603151,0.7413127413127413,0.7700397054079916,7.272727272727275,0.03389830508474576
testonly,0.1,8,17,10,0.09327805488976701,8.101650412603151,0.7963891675025075,0.5527995154289143,26.957831325301207,0.12962962962962962
testonly,0.1,8,17,11,0.09327805488976701,8.101650412603151,0.8129973474801061,0.5757218528387504,24.615384615384617,0.2682926829268293
testonly,0.1,8,17,12,0.09327805488976701,8.101650412603151,0.7372742200328407,0.6623205859323046,22.857142857142854,0.2558139534883721
testonly,0.1,8,17,13,0.09327805488976701,8.101650412603151,0.6435523114355232,0.45611014752647155,34.34343434343434,0.23529411764705882
testonly,0.1,8,17,14,0.09327805488976701,8.101650412603151,0.6138121546961326,0.35970098826825186,19.49497692098833,0.0440251572327044
testonly,0.1,8,17,15,0.09327805488976701,8.101650412603151,0.6857142857142857,0.510305750244011,21.568627450980394,0.19047619047619047
testonly,0.1,8,27,01,0.09418928548293062,8.07179866765359,0.732749178532311,0.6991706235004836,27.173913043478258,0.3050847457627119
testonly,0.1,8,27,02,0.09418928548293062,8.07179866765359,0.7266811279826464,0.6381940821910835,16.666666666666664,0.12244897959183672
testonly,0.1,8,27,03,0.09418928548293062,8.07179866765359,0.6179981634527089,0.5143877130040633,13.868613138686136,0.11538461538461539
testonly,0.1,8,27,04,0.09418928548293062,8.07179866765359,0.6155003762227238,0.4923722618602522,6.056466302367941,0.007692307692307692
testonly,0.1,8,27,05,0.09418928548293062,8.07179866765359,0.34448979591836737,0.34720012453208765,13.154726068633355,0.096045197740113
testonly,0.1,8,27,06,0.09418928548293062,8.07179866765359,0.6976069615663524,0.5061740592968726,11.180032491507902,0.0962962962962963
testonly,0.1,8,27,07,0.09418928548293062,8.07179866765359,0.5558153126826417,0.4382739160943533,10.307206431237443,0.09090909090909091
testonly,0.1,8,27,08,0.09418928548293062,8.07179866765359,0.6378571428571429,0.44119700235730686,10.286956521739132,0.06756756756756757
testonly,0.1,8,27,09,0.09418928548293062,8.07179866765359,0.7644787644787645,0.8295696463794875,9.302325581395355,0.0
testonly,0.1,8,27,10,0.09418928548293062,8.07179866765359,0.7993981945837513,0.6587936505828698,25.79787234042553,0.23445378151260504
testonly,0.1,8,27,11,0.09418928548293062,8.07179866765359,0.7811671087533156,0.5384868223817002,26.984126984126988,0.25
testonly,0.1,8,27,12,0.09418928548293062,8.07179866765359,0.6600985221674877,0.6368797193159584,19.047619047619047,0.13999999999999999
testonly,0.1,8,27,13,0.09418928548293062,8.07179866765359,0.6508515815085159,0.49248089914687404,34.95145631067961,0.24285714285714288
